,year,title,copyright,AU,SO
11383,2017,Green supply chain management related performance indicators in agro industry: A review, Elsevier Ltd. All rights reserved.,"Sharma, VK|Chandna, P|Bhardwaj, A",JOURNAL OF CLEANER PRODUCTION
11393,2001,Input uncertainty analysis of the dynamic soil model SMART2 using Monte Carlo sampling,,"Rankinen, K|Barlund, I|Ahonen, J|Forsius, M|Kamari, J",BOREAL ENVIRONMENT RESEARCH
11399,2014,Structural reliability analysis using a copula-function-based evidence theory model, Elsevier Ltd. All rights reserved.,"Jiang, C|Zhang, W|Wang, B|Han, X",COMPUTERS & STRUCTURES
11400,2001,Application of a catchment water quality model for assessment and prediction of nitrogen budgets, (C) 2001 Elsevier Science Ltd. All rights reserved.,"Eisele, M|Kiese, R|Kramer, A|Leibundgut, C",PHYSICS AND CHEMISTRY OF THE EARTH PART B-HYDROLOGY OCEANS AND ATMOSPHERE
11404,2003,An innovative cost-benefit analysis as a decision support system for the evaluation of alternative scenarios of water-resources management,,"Aravossis, K|Vliamos, S|Anagnostopoulos, P|Kungolos, A",FRESENIUS ENVIRONMENTAL BULLETIN
11407,2014,Assessment of the potential of digestibility-improving enzymes to reduce greenhouse gas emissions from broiler production, Elsevier Ltd. All rights reserved.,"Bundgaard, AM|Dalgaard, R|Gilbert, C|Thrane, M",JOURNAL OF CLEANER PRODUCTION
11414,2010,EFFECT OF SEED SIZE AND DROUGHT STRESS ON GERMINATION AND SEEDLING GROWTH OF NAKED OAT (AVENA SATIVA L.),,"Mut, Z|Akay, H",BULGARIAN JOURNAL OF AGRICULTURAL SCIENCE
11422,2017,Polynomial chaos assessment of design tolerances for vortex-induced vibrations of two cylinders in tandem,,"Geraci, G|De Tullio, MD|Iaccarino, G",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING
11426,2012,Optimizing financial effects of HIE: a multi-party linear programming approach,,"Sridhar, S|Brennan, PF|Wright, SJ|Robinson, SM",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION
11450,2014,Numerical simulation of landfill aeration using computational fluid dynamics, Elsevier Ltd. All rights reserved.,"Fytanidis, DK|Voudrias, EA",WASTE MANAGEMENT
11461,2016,Fuzzy mixed integer non-linear programming model for the design of an algae-based eco-industrial park with prospective selection of support tenants under product price variability, Elsevier Ltd. All rights reserved.,"Ubando, AT|Culaba, AB|Aviso, KB|Tan, RR|Cuello, JL|Ng, DKS|El-Halwagi, MM",JOURNAL OF CLEANER PRODUCTION
11463,2015,Analyzing the drivers of green manufacturing with fuzzy approach, Elsevier Ltd. All rights reserved.,"Govindan, K|Diabat, A|Shankar, KM",JOURNAL OF CLEANER PRODUCTION
11465,2017,"A GIS methodology for optimal location of a wood-fired power plant: Quantification of available woodfuel, supply chain costs and GHG emissions", (C) 2017 Published by Elsevier Ltd.,"Sanchez-Garcia, S|Athanassiadis, D|Martinez-Alonso, C|Tolosana, E|Majada, J|Canga, E",JOURNAL OF CLEANER PRODUCTION
11467,2007,Estimation of acceptable mercury intake from fish in Taiwan, Elsevier Ltd. All rights reserved.,"Chien, LC|Yeh, CY|Jiang, CB|Hsu, CS|Han, BC",CHEMOSPHERE
11468,2010,EASEWASTE-life cycle modeling capabilities for waste management technologies,,"Bhander, GS|Christensen, TH|Hauschild, MZ",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
11481,2011,A Combined Sensitive Matrix Method and Maximum Likelihood Method for Uncertainty Inverse Problems,,"Zhang, W|Han, X|Liu, J|Tan, ZH",CMC-COMPUTERS MATERIALS & CONTINUA
11484,2008,In silico Biochemical Reaction Network Analysis (IBRENA): a package for simulation and analysis of reaction networks,,"Liu, G|Neelamegham, S",BIOINFORMATICS
11488,2006,Model comparison for risk assessment: A case study of contaminated groundwater, Elsevier Ltd. All rights reserved.,"Chen, YC|Ma, HW",CHEMOSPHERE
11504,2008,Optimization of layout and shape of stiffeners in 2D structures, Elsevier Ltd. All rights reserved.,"Bojczuk, D|Szteleblak, W",COMPUTERS & STRUCTURES
11512,2014,Life cycle assessment of nanocomposites made of thermally conductive graphite nanoplatelets,,"Pizza, A|Metz, R|Hassanzadeh, M|Bantignies, JL",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
11523,2015,Discrete element modelling (DEM) input parameters: understanding their impact on model predictions using statistical analysis,,"Yan, Z|Wilkinson, SK|Stitt, EH|Marigo, M",COMPUTATIONAL PARTICLE MECHANICS
11524,2014,Combined Municipal Solid Waste and biomass system optimization for district energy applications, Elsevier Ltd. All rights reserved.,"Rentizelas, AA|Tolis, AI|Tatsiopoulos, IP",WASTE MANAGEMENT
11533,2005,A PAH fate model for San Francisco Bay, Elsevier Ltd. All rights reserved.,"Greenfield, BK|Davis, JA",CHEMOSPHERE
11539,2014,A Hydraulic Model as a Useful Tool in the Operation of a Water-Pipe Network,,"Kepa, U|Stanczyk-Mazanek, E",POLISH JOURNAL OF ENVIRONMENTAL STUDIES
11540,2005,Impact of dimension uncertainty and model calibration on sewer system assessment,,"Korving, H|Clemens, F",WATER SCIENCE AND TECHNOLOGY
11550,2010,PRICING UNEMPLOYMENT INSURANCE - AN UNEMPLOYMENT-DURATION-ADJUSTED APPROACH,,"Chuang, HL|Yu, MT",ASTIN BULLETIN
11561,2006,"Text classification: Combining grouping, LSA and kNN vs support vector machine",,"Ishii, N|Murai, T|Yamada, T|Bao, YG|Suzuki, S","KNOWLEDGE-BASED INTELLIGENT INFORMATION AND ENGINEERING SYSTEMS, PT 2, PROCEEDINGS"
11567,2016,Life-cycle assessment of airport pavement design alternatives for energy and environmental impacts, Elsevier Ltd. All rights reserved.,"Wang, H|Thakkar, C|Chen, XD|Murrel, S",JOURNAL OF CLEANER PRODUCTION
11568,2016,Solution of Liouville's Equation for Uncertainty Characterization of the Main Problem in Satellite Theory,,"Weisman, R|Majji, M|Alfriend, KT",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
11571,2014,MCMC_CLIB-an advanced MCMC sampling package for ODE models,,"Kramer, A|Stathopoulos, V|Girolami, M|Radde, N",BIOINFORMATICS
11598,2005,ProRank - Software for partial order ranking,,"Pudenz, S",MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY
11605,2015,Efficient uncertainty quantification in stochastic finite element analysis based on functional principal components,,"Bianchini, I|Argiento, R|Auricchio, F|Lanzarone, E",COMPUTATIONAL MECHANICS
11606,2017,Material Flow Accounts and Driving Factors of Economic Growth in the Philippines,,"Martinico-Perez, MFG|Fishman, T|Okuoka, K|Tanikawa, H",JOURNAL OF INDUSTRIAL ECOLOGY
11609,2001,Application of mathematical tools to improve the design and operation of activated sludge plants. Case study: the new WWTP of Galindo-Bilbao Part II: Operational strategies and automatic controllers,,"Galarza, A|Ayesa, E|Linaza, MT|Rivas, A|Salterain, A",WATER SCIENCE AND TECHNOLOGY
11610,2013,A wideband FMBEM for 2D acoustic design sensitivity analysis based on direct differentiation method,,"Chen, LL|Zheng, CJ|Chen, HB",COMPUTATIONAL MECHANICS
11621,2016,Multi-criteria evaluation of green suppliers using an extended WASPAS method with interval type-2 fuzzy sets, Elsevier Ltd. All rights reserved.,"Keshavarz Ghorabaee, M|Zavadskas, EK|Amiri, M|Esmaeili, A",JOURNAL OF CLEANER PRODUCTION
11626,2000,Shape design optimization of joining mechanism using doubly curved shell, (C) 2000 Elsevier Science Ltd. All rights reserved.,"Choi, B|Park, YH|Choi, KK",COMPUTERS & STRUCTURES
11631,2014,Statistical method for estimation of the predictive power of a gene circuit model,,"Myasnikova, E|Kozlov, KN",JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY
11635,2011,Assessing existing peatland models for their applicability for modelling greenhouse gas emissions from tropical peat soils,,"Farmer, J|Matthews, R|Smith, JU|Smith, P|Singh, BK",CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY
11640,2008,Environmental assessment of waste-solvent treatment options - Part II: General rules of thumb and specific recommendations,,"Capello, C|Hellweg, S|Hungerbuhler, K",JOURNAL OF INDUSTRIAL ECOLOGY
11641,2013,A model to Predict the Behavior of UASB Reactors,,"Rodriguez-Gomez, R|Moreno, L|Liu, L",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH
11651,2007,An overview of spatial microscopic and accelerated kinetic Monte Carlo methods,,"Chatterjee, A|Vlachos, DG",JOURNAL OF COMPUTER-AIDED MATERIALS DESIGN
11655,2013,A neural network model for simulation of water levels at the Sultan Marshes wetland in Turkey,,"Dadaser-Celik, F|Cengiz, E",WETLANDS ECOLOGY AND MANAGEMENT
11662,2001,Evaluation and refinement of a continuous seed germination and early seedling growth test for the use in the ecotoxicological assessment of soils, (C) 2001 Elsevier Science Ltd. All rights reserved.,"Gong, P|Wilke, BM|Strozzi, E|Fleischmann, S",CHEMOSPHERE
11671,2015,Structural-Acoustic Design Sensitivity Analysis based on Direct Differentiation Method with Different Element Types,,"Chen, LL|Chen, HB",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
11684,2015,Evaluation of post-germinative lipid peroxidation and enzymatic antioxidant potential in lead absorbing oat (Avena sativa) seedlings,,"Bhushan, B|Pal, A|Kumar, S|Rajesh|Singh, A",JOURNAL OF ENVIRONMENTAL BIOLOGY
11701,2013,An adaptive refinement approach for topology optimization based on separated density field description, Elsevier Ltd. All rights reserved.,"Wang, YQ|Kang, Z|He, QZ",COMPUTERS & STRUCTURES
11708,2002,Contributions of short-term flow regulation patterns to trout habitats in a boreal river,,"Yrjana, T|van der Meer, O|Riihimaki, J|Sinisalmi, T",BOREAL ENVIRONMENT RESEARCH
11721,2012,A sustainability point of view on sheet metal forming operations: material wasting and energy consumption in incremental forming and stamping processes, Elsevier Ltd. All rights reserved.,"Ingarao, G|Ambrogio, G|Gagliardi, F|Di Lorenzo, R",JOURNAL OF CLEANER PRODUCTION
11725,2015,Upgrading Domestic-Plus Systems in Rural Senegal: An Incremental Income-Cost (I-C) Analysis,,"Hall, RP|Vance, EA|van Houweling, E",WATER ALTERNATIVES-AN INTERDISCIPLINARY JOURNAL ON WATER POLITICS AND DEVELOPMENT
11727,2004,Drought index assessment in the watersheds of affluents from the Rio Bravo/Rio Grande River,,"Velasco, I|Aparicio, J|Valdes, JB|Velazquez, J|Kim, TW",INGENIERIA HIDRAULICA EN MEXICO
11737,2016,"Analysis of CFSE time-series data using division-, age- and label-structured population models",,"Hross, S|Hasenauer, J",BIOINFORMATICS
11745,2015,Contribution to the development of product category rules for ceramic bricks, Elsevier Ltd. All rights reserved.,"Almeida, MI|Dias, AC|Demertzi, M|Arroja, L",JOURNAL OF CLEANER PRODUCTION
11770,2002,Probabilistic fracture mechanics by Galerkin meshless methods - part I: rates of stress intensity factors,,"Rao, BN|Rahman, S",COMPUTATIONAL MECHANICS
11775,2016,Virtual exploration of early stage atherosclerosis,,"Olivares, AL|Ballester, MAG|Noailly, J",BIOINFORMATICS
11780,2000,Dangers inherited in shells optimized with linear assumptions, (C) 2000 Civil-Comp Ltd. and Elsevier Science Ltd. All rights reserved.,"Lee, SJ|Hinton, E",COMPUTERS & STRUCTURES
11794,2014,Combining Life Cycle Assessment with Data Science to Inform Portfolio-Level Value-Chain Engineering A Case Study at PepsiCo Inc.,,"Meinrenken, CJ|Sauerhaft, BC|Garvan, AN|Lackner, KS",JOURNAL OF INDUSTRIAL ECOLOGY
11796,2017,CROP EVAPOTRANSPIRATION VARIATION UNDER CLIMATE CHANGE IN SOUTH EAST EUROPE DURING 1991-2050,,"Nistor, MM|Ronchetti, F|Corsini, A|Cheval, S|Dumitrescu, A|Rai, PK|Petrea, D|Dezsi, S",CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES
11803,2008,"A life cycle comparison of disposal and beneficial use of coal combustion products in Florida - Part 1: Methodology and inventory of materials, energy, and emissions",,"Babbitt, CW|Lindner, AS",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
11811,2016,Water and carbon footprint of selected dairy products: A case study in Catalonia, Elsevier Ltd. All rights reserved.,"Vasilaki, V|Katsou, E|Ponsa, S|Colon, J",JOURNAL OF CLEANER PRODUCTION
11827,2004,A Malliavin calculus approach to sensitivity analysis in insurance, (C) 2004 Elsevier B.V. All rights reserved.,"Privault, N|Wei, X",INSURANCE MATHEMATICS & ECONOMICS
11831,2012,Reliability sensitivity estimation of linear systems under stochastic excitation, Elsevier Ltd. All rights reserved.,"Valdebenito, MA|Jensen, HA|Schueller, GI|Caro, FE",COMPUTERS & STRUCTURES
11834,2006,Generalized support set invariancy sensitivity analysis in linear optimization,,"Hadigheh, AG|Terlaky, T",JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION
11845,2006,Integrated inventory control and inspection policies with deterministic demand, Elsevier Ltd. All rights reserved.,"Ben-Daya, M|Noman, SM|Hariga, M",COMPUTERS & OPERATIONS RESEARCH
11850,2017,Novel (5-nitrofurfuryl)-substituted esters of phosphonoglycine - Their synthesis and phyto- and ecotoxicological properties, Elsevier Ltd. All rights reserved.,"Lewkowski, J|Morawska, M|Karpowicz, R|Rychter, P|Rogacz, D|Lewicka, K",CHEMOSPHERE
11854,2017,Life cycle assessment of biodiesel fuel production from waste cooking oil in Okayama City,,"Yang, JM|Fujiwara, T|Geng, QJ",JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT
11856,2017,Total factor carbon emission performance measurement and development, Elsevier Ltd. All rights reserved.,"Hu, XC|Si, TG|Liu, CL",JOURNAL OF CLEANER PRODUCTION
11862,2015,Improved semi-analytical sensitivity analysis using a secant stiffness matrix for geometric nonlinear shape optimization, Elsevier Ltd. All rights reserved.,"Wang, WJ|Clausen, PM|Bletzinger, KU",COMPUTERS & STRUCTURES
11864,2001,"Small grain cover crops and wheel traffic effects on infiltration, runoff, and erosion",,"Kaspar, TC|Radke, JK|Laflen, JM",JOURNAL OF SOIL AND WATER CONSERVATION
11866,2010,Finite element implementation including sensitivity analysis of a simple finite strain viscoelastic constitutive law, Elsevier Ltd. All rights reserved.,"Rauchs, G",COMPUTERS & STRUCTURES
11868,2011,Prediction of principal ground-motion parameters using a hybrid method coupling artificial neural networks and simulated annealing, Elsevier Ltd. All rights reserved.,"Alavi, AH|Gandomi, AH",COMPUTERS & STRUCTURES
11871,2009,Internal pressure and counterpunch action design in Y-shaped tube hydroforming processes: A multi-objective optimisation approach, Elsevier Ltd. All rights reserved.,"Ingarao, G|Di Lorenzo, R|Micari, F",COMPUTERS & STRUCTURES
11888,2017,Tuberculosis with relapse: A model,,"Yang, YL|Wu, JH|Li, JQ|Xu, XX",MATHEMATICAL POPULATION STUDIES
11891,2016,Resource allocation for mitigating regional air pollution-related mortality: A summertime case study for five cities in the United States,,"Liao, KJ|Hou, XT|Strickland, MJ",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
11898,2005,Applicability of an extant batch respirometric assay in describing dynamics of ammonia and nitrite oxidation in a nitrifying bioreactor,,"Chandran, K|Hu, Z|Smets, BF",WATER SCIENCE AND TECHNOLOGY
11913,2009,A goal-oriented field measurement filtering technique for the identification of material model parameters,,"Lubineau, G",COMPUTATIONAL MECHANICS
11916,2006,Possibility theory: A new approach to uncertainty analysis?,,"Benetto, E|Dujet, C|Rousseaux, P",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
11924,2016,A life cycle assessment framework for the evaluation of automobile paint shops, Elsevier Ltd. All rights reserved.,"Rivera, JL|Reyes-Carrillo, T",JOURNAL OF CLEANER PRODUCTION
11925,2016,Design sensitivity analysis of structures with viscoelastic dampers, Elsevier Ltd. All rights reserved.,"Lewandowski, R|Lasecka-Plura, M",COMPUTERS & STRUCTURES
11932,2011,A numerical framework for load identification and regularization with application to rolling disc problem, Elsevier Ltd. All rights reserved.,"Ronasi, H|Johansson, H|Larsson, F",COMPUTERS & STRUCTURES
11944,2010,Maximizing the fundamental eigenfrequency of geometrically nonlinear structures by topology optimization based on element connectivity parameterization, Elsevier Ltd. All rights reserved.,"Yoon, GH",COMPUTERS & STRUCTURES
11949,2017,Hotspots analysis and critical interpretation of food life cycle assessment studies for selecting eco-innovation options and for policy support, (C) 2016 Published by Elsevier Ltd.,"Castellani, V|Sala, S|Benini, L",JOURNAL OF CLEANER PRODUCTION
11953,2014,Life cycle assessment of fuel chip production from eucalypt forest residues,,"Dias, AC",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
11954,2001,Framework for modelling data uncertainty in life cycle inventories,,"Huijbregts, MAJ|Norris, G|Bretz, R|Ciroth, A|Maurice, B|von Bahr, B|Weidema, B|de Beaufort, ASH",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
11956,2015,Carbon footprint of cheese produced on milk from Holstein and Jersey cows fed hay differing in herb content, Elsevier Ltd. All rights reserved.,"Kristensen, T|Soegaard, K|Eriksen, J|Mogensen, L",JOURNAL OF CLEANER PRODUCTION
11959,2012,Topology optimization of continuum structures with Drucker-Prager yield stress constraints, Elsevier Ltd. All rights reserved.,"Luo, YJ|Kang, Z",COMPUTERS & STRUCTURES
11963,2003,A risk analysis approach to selecting respiratory protection against airborne pathogens used for bioterrorism,,"Nicas, M|Hubbard, A",AIHA JOURNAL
11967,2011,Value Choices in Life Cycle Impact Assessment of Stressors Causing Human Health Damage,,"De Schryver, AM|van Zelm, R|Humbert, S|Pfister, S|McKone, TE|Huijbregts, MAJ",JOURNAL OF INDUSTRIAL ECOLOGY
11969,2014,Calibration and validation of coarse-grained models of atomic systems: application to semiconductor manufacturing,,"Farrell, K|Oden, JT",COMPUTATIONAL MECHANICS
11980,2013,Modeling the dioxin emission of a municipal solid waste incinerator using neural networks, Elsevier Ltd. All rights reserved.,"Bunsan, S|Chen, WY|Chen, HW|Chuang, YH|Grisdanurak, N",CHEMOSPHERE
11986,2017,Distance stability analysis in multidimensional scaling using the jackknife method,,"Vera, JF",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY
11988,2009,The consideration of long-term emissions from landfills within life-cycle assessment,,"Laner, D",WASTE MANAGEMENT & RESEARCH
11996,2015,Development and identification of a multi-species water quality model for reclaimed water distribution systems,,"Li, S|Sun, F|Zeng, SY|Dong, X|Du, PF",JOURNAL OF WATER REUSE AND DESALINATION
11999,2013,Dynamic life cycle assessment: framework and application to an institutional building,,"Collinge, WO|Landis, AE|Jones, AK|Schaefer, LA|Bilec, MM",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
12000,2000,Coupling relations between molecular electronic and geometrical degrees of freedom in density functional theory and charge sensitivity analysis, (C) 2000 Elsevier Science Ltd. All rights reserved.,"Nalewajski, RF",COMPUTERS & CHEMISTRY
12001,2015,"Assessment of uncertainty in chemical models by Bayesian probabilities: Why, when, how?",,"Sahlin, U",JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN
12003,2017,"Level of contamination with mycobiota and contents of mycotoxins from the group of trichothecenes in grain of wheat, oats, barley, rye and triticale harvested in Poland in 2006-2008",,"Stuper-Szablewska, K|Perkowski, JL",ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE
12009,2017,"Sensitivity of crop water productivity to the variation of agricultural and climatic factors: A study of Hetao irrigation district, China", Elsevier Ltd. All rights reserved.,"Sun, SK|Zhang, CF|Li, XL|Zhou, TW|Wang, YB|Wu, PT|Cai, HJ",JOURNAL OF CLEANER PRODUCTION
12012,2013,FEM/Wideband FMBEM Coupling for Fluid-Structure Interaction Problem and 2D Acoustic Design Sensitivity Analysis,,"Chen, LL|Chen, HB|Zheng, CJ",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
12023,2017,Combining operational research and Life Cycle Assessment to optimize municipal solid waste collection in a district in Lima (Peru), Elsevier Ltd. All rights reserved.,"Gilardino, A|Rojas, J|Mattos, H|Larrea-Gallegos, G|Vazquez-Rowe, I",JOURNAL OF CLEANER PRODUCTION
12035,2016,Concurrent design and process optimization of forging, Elsevier Ltd. All rights reserved.,"Ozturk, M|Kocaoglan, S|Sonmez, FO",COMPUTERS & STRUCTURES
12041,2015,Estimation of future PM2.5- and ozone-related mortality over the continental United States in a changing climate: An application of high-resolution dynamical downscaling technique,,"Sun, J|Fu, JS|Huang, K|Gao, Y",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
12045,2013,MACROPHYTES AS REMEDIATION TECHNOLOGY IN IMPROVING LUDAS LAKE SEDIMENT,,"Radic, D|Gujanicic, V|Petricevic, J|Raicevic, V|Lalevic, B|Rudic, Z|Bozic, M",FRESENIUS ENVIRONMENTAL BULLETIN
12048,2016,Biochemical production of bioenergy from agricultural crops and residue in Iran, Elsevier Ltd. All rights reserved.,"Alavijeh, MK|Yaghmaei, S",WASTE MANAGEMENT
12051,2017,Modeling the impact of mitigation options on abatement of methane emission from livestock,,"Misra, AK|Verma, M",NONLINEAR ANALYSIS-MODELLING AND CONTROL
12055,2015,Time-consistent investment strategy under partial information, (C) 2015 Elsevier B.V. All rights reserved.,"Li, YW|Qiao, H|Wang, SY|Zhang, L",INSURANCE MATHEMATICS & ECONOMICS
12060,2009,Modelling the impact of urbanisation on flood runoff volume,,"Kjeldsen, TR",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT
12061,2014,An adaptive geometry parametrization for aerodynamic shape optimization,,"Han, XC|Zingg, DW",OPTIMIZATION AND ENGINEERING
12068,2017,A Dimension-Reduction Interval Analysis Method for Uncertain Problems,,"Tang, JC|Fu, CM",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
12071,2002,Benchmarking range-dependent propagation modeling in matched-field inversion,,"Dosso, SE",JOURNAL OF COMPUTATIONAL ACOUSTICS
12076,2013,Optimal design of neuro-mechanical oscillators, Elsevier Ltd. All rights reserved.,"Thore, CJ",COMPUTERS & STRUCTURES
12087,2017,"Application of multi-objective genetic algorithms for optimization of energy, economics and environmental life cycle assessment in oilseed production", Elsevier Ltd. All rights reserved.,"Mousavi-Avval, SH|Rafiee, S|Sharifi, M|Hosseinpour, S|Notarnicola, B|Tassielli, G|Renzulli, PA",JOURNAL OF CLEANER PRODUCTION
12092,2012,Throughput analysis for order picking system with multiple pickers and aisle congestion considerations, Elsevier Ltd. All rights reserved.,"Pan, JCH|Wu, MH",COMPUTERS & OPERATIONS RESEARCH
12100,2001,The expected utility theory applied to an industrial decision problem - what technological alternative to implement to treat industrial solid residuals,,"Duarte, BPM",COMPUTERS & OPERATIONS RESEARCH
12119,2010,Assessing Near-Field and Downwind Impacts of Reactivity-Based Substitutions,,"Capps, SL|Hu, YT|Russell, AG",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
12121,2010,"LCA of a biorefinery concept producing bioethanol, bioenergy, and chemicals from switchgrass",,"Cherubini, F|Jungmeier, G",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
12127,2005,Modelling of the extractive membrane bioreactor process based on natural fluorescence fingerprints and process operation history,,"Wolf, G|Almeida, JS|Reis, MAM|Crespo, JG",WATER SCIENCE AND TECHNOLOGY
12130,2000,Poisson simulation - A method for generating stochastic variations in continuous system simulation,,"Gustafsson, L",SIMULATION
12138,2017,Managing too little and too much water: Robust mine-water management strategies under variable climate and mine conditions, Elsevier Ltd. All rights reserved.,"Gao, L|Bryan, BA|Liu, J|Li, WG|Chen, Y|Liu, R|Barrett, D",JOURNAL OF CLEANER PRODUCTION
12142,2016,Is biomass energy really clean? An environmental life-cycle perspective on biomass-based electricity generation in China, Elsevier Ltd. All rights reserved.,"Xu, CQ|Hong, JL|Chen, JM|Han, XF|Lin, C|Li, XZ",JOURNAL OF CLEANER PRODUCTION
12143,2008,The recycling of plastic wastes from discarded TV sets: comparing energy recovery with mechanical recycling in the context of life cycle assessment, Elsevier Ltd. All rights reserved.,"Dodbiba, G|Takahashi, K|Sadaki, J|Fujita, T",JOURNAL OF CLEANER PRODUCTION
12144,2008,An unsteady adaptive stochastic finite elements formulation for rigid-body fluid-structure interaction, Elsevier Ltd. All rights reserved.,"Witteveen, JAS|Bijl, H",COMPUTERS & STRUCTURES
12150,2016,Techno-economic and carbon footprint assessment of methyl crotonate and methyl acrylate production from wastewater-based polyhydroxybutyrate (PHB), Elsevier Ltd. All rights reserved.,"Fernandez-Dacosta, C|Posada, JA|Ramirez, A",JOURNAL OF CLEANER PRODUCTION
12178,2016,Network theory and behavioral finance in a heterogeneous market environment," (c) 2016 Wiley Periodicals, Inc. Complexity 21: 530-554, 2016","Khashanah, K|Alsulaiman, T",COMPLEXITY
12185,2006,Risk analysis strategies in the water utility sector: An inventory of applications for better and more credible decision making,,"MacGillivray, BH|Hamilton, PD|Strutt, JE|Pollard, SJT",CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY
12191,2017,Estimation of greenhouse gas emissions from sewer pipeline system,,"Kyung, D|Kim, D|Yi, S|Choi, W|Lee, W",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
12193,2005,Biosolids impact on tall fescue drought resistance,,"Zhang, X|Ervin, E|Evanylo, G|Sherony, C|Peot, C",JOURNAL OF RESIDUALS SCIENCE & TECHNOLOGY
12199,2015,Modeling approaches to predict removal of trace organic compounds by ozone oxidation in potable reuse applications,,"Park, M|Anumol, T|Snyder, SA",ENVIRONMENTAL SCIENCE-WATER RESEARCH & TECHNOLOGY
12202,2016,A novel encoding Lempel-Ziv complexity algorithm for quantifying the irregularity of physiological time series, (C) 2016 Elsevier Ireland Ltd. All rights reserved.,"Zhang, YT|Wei, SS|Liu, H|Zhao, LN|Liu, CY",COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE
12210,2016,A fuzzy data envelopment analysis framework for dealing with uncertainty impacts of input-output life cycle assessment models on eco-efficiency assessment, Elsevier Ltd. All rights reserved.,"Egilmez, G|Gumus, S|Kucukvar, M|Tatari, O",JOURNAL OF CLEANER PRODUCTION
12216,2006,Oxygen intrusion into waste in old landfills of low organic content,,"Kallel, A|Tanaka, N|Tojo, Y|Matsuto, T|Hanada, S",WASTE MANAGEMENT & RESEARCH
12217,2014,Assuring the sustainable production of biogas from anaerobic mono-digestion, Elsevier Ltd. All rights reserved.,"Lijo, L|Gonzalez-Garcia, S|Bacenetti, J|Fiala, M|Feijoo, G|Moreira, MT",JOURNAL OF CLEANER PRODUCTION
12218,2016,laGP: Large-Scale Spatial Modeling via Local Approximate Gaussian Processes in R,,"Gramacy, RB",JOURNAL OF STATISTICAL SOFTWARE
12223,2016,Photovoltaic energy systems with battery storage for residential areas: an economic analysis, Elsevier Ltd. All rights reserved.,"Cucchiella, F|D'Adamo, I|Gastaldi, M",JOURNAL OF CLEANER PRODUCTION
12235,2015,How sensitive is the pricing of lookback and interest rate guarantees when changing the modelling assumptions?, (C) 2015 Elsevier B.V. All rights reserved.,"Orozco-Garcia, C|Schmeiser, H",INSURANCE MATHEMATICS & ECONOMICS
12239,2013,A new procedure for testing normality based on the L (2) Wasserstein distance,,"He, DJ|Xu, XZ|Zhao, JX",JOURNAL OF SYSTEMS SCIENCE & COMPLEXITY
12245,2005,A latent usage approach for clustering web transaction and building user profile,,"Zhang, YC|Xu, GD|Zhou, XF","ADVANCED DATA MINING AND APPLICATIONS, PROCEEDINGS"
12248,2012,Environmental impacts of eucalypt and maritime pine wood production in Portugal, Elsevier Ltd. All rights reserved.,"Dias, AC|Arroja, L",JOURNAL OF CLEANER PRODUCTION
12249,2009,Sole versus dual sourcing under order dependent lead times and prices, Elsevier Ltd. All rights reserved.,"Sajadieh, MS|Eshghi, K",COMPUTERS & OPERATIONS RESEARCH
