AU,SO,copyright,title,year
"Xia, L|Fritzen, F|Breitkopf, P",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Evolutionary topology optimization of elastoplastic structures,2017
"JafarGandomi, A|Curtis, A",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL, Elsevier Ltd. All rights reserved.,Assessing the monitorability of CO2 saturation in subsurface saline aquifers,2012
"Asefa, T|Kemblowski, M|Lall, U|Urroz, G",WATER RESOURCES RESEARCH,,Support vector machines for nonlinear state space reconstruction: Application to the Great Salt Lake time series,2005
"Molenberghs, G|Verbeke, C|Thijs, H|Lesaffre, E|Kenward, MG",COMPUTATIONAL STATISTICS & DATA ANALYSIS, (C) 2001 Elsevier Science B.V. All rights reserved.,Influence analysis to assess sensitivity of the dropout process,2001
"Ratto, M",COMPUTATIONAL ECONOMICS,,Analysing DSGE models with global sensitivity analysis,2008
"Kross, A|Fernandes, R|Seaquist, J|Beaubien, E",REMOTE SENSING OF ENVIRONMENT, (C) 2011 Elsevier Inc. All rights reserved.,The effect of the temporal resolution of NDVI data on season onset dates and trends across Canadian broadleaf forests,2011
"Miki, K|Panesi, M|Prudhomme, S",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2015 Elsevier Inc. All rights reserved.,Systematic validation of non-equilibrium thermochemical models using Bayesian inference,2015
"Kaheil, YH|Gill, MK|McKee, M|Bastidas, L",WATER RESOURCES RESEARCH,,A new Bayesian recursive technique for parameter estimation,2006
"Xu, ZS|Huang, QB|Zhao, ZG",ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS, Elsevier Ltd. All rights reserved.,Topology optimization of composite material plate with respect to sound radiation,2011
"Zhang, MK|Guo, YC",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL, Elsevier Ltd. All rights reserved.,Reaction sensitivity analysis of CO2 absorption using aqueous ammonia in a packed column,2015
"Erdogan, SA|Denton, B",INFORMS JOURNAL ON COMPUTING,,Dynamic Appointment Scheduling of a Stochastic Server with Uncertain Demand,2013
"Loubiere, P|Jourdan, A|Siarry, P|Chelouah, R",APPLIED SOFT COMPUTING, (C) 2016 Elsevier B.V. All rights reserved.,A sensitivity analysis method for driving the Artificial Bee Colony algorithm's search process,2016
"Mahmoudzadeh, M|Sadjadi, SJ|Mansour, S",APPLIED MATHEMATICAL MODELLING, (C) 2013 Elsevier Inc. All rights reserved.,Robust optimal dynamic production/pricing policies in a closed-loop system,2013
"Shen, ZY|Chen, L|Liao, Q|Liu, RM|Hong, Q",JOURNAL OF HYDROLOGY, (C) 2012 Elsevier B.V. All rights reserved.,Impact of spatial rainfall variability on hydrology and nonpoint source pollution modeling,2012
"Russo, S|Luchini, P",JOURNAL OF COMPUTATIONAL PHYSICS, (c) 2017 Elsevier Inc. All rights reserved.,A fast algorithm for the estimation of statistical error in DNS (or experimental) time averages,2017
"Khezrimotlagh, D|Salleh, S|Mohsenpour, Z",APPLIED MATHEMATICAL MODELLING, (C) 2013 Elsevier Inc. All rights reserved.,A new robust mixed integer-valued model in DEA,2013
"Ciavatta, S|Lovato, T|Ratto, M|Pastres, R",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,,GLOBAL UNCERTAINTY AND SENSITIVITY ANALYSIS OF A FOOD-WEB BIOACCUMULATION MODEL,2009
"Berezowski, T|Nossent, J|Chormanski, J|Batelaan, O",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Spatial sensitivity analysis of snow cover data in a distributed rainfall-runoff model,2015
"Rao, BN|Rahman, S",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (c) 2004 Elsevier B.V. All rights reserved.,Continuum shape sensitivity analysis of a mixed-mode fracture in functionally graded materials,2005
"Gebbie, G|Hsieh, TL",NONLINEAR PROCESSES IN GEOPHYSICS,,"Controllability, not chaos, key criterion for ocean state estimation",2017
"de Vos, CJ|Saatkamp, HW|Nielen, M|Huirne, RBM",RISK ANALYSIS,,Sensitivity analysis to evaluate the impact of uncertain factors in a scenario tree model for classical swine fever introduction,2006
"Morais, SA|Delerue-Matos, C|Gabarrell, X",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2014 Published by Elsevier B. V.,An uncertainty and sensitivity analysis applied to the prioritisation of pharmaceuticals as surface water contaminants from wastewater treatment plant direct emissions,2014
"Dostert, P|Efendiev, Y|Hou, TY",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2008 Elsevier B.V. All rights reserved.,Multiscale finite element methods for stochastic porous media flow equations and application to uncertainty quantification,2008
"Zajac, Z|Revilla-Romero, B|Salamon, P|Burek, P|Hirpa, FA|Beck, H",JOURNAL OF HYDROLOGY, Published by Elsevier B.V.,The impact of lake and reservoir parameterization on global streamflow simulation,2017
"Oden, JT|Lima, EABF|Almeida, RC|Feng, YS|Rylander, MN|Fuentes, D|Faghihi, D|Rahman, MM|DeWitt, M|Gadde, M|Zhou, JC",ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,,Toward Predictive Multiscale Modeling of Vascular Tumor Growth,2016
"Wyser, K|O'Hirok, W|Gautier, C|Jones, C",REMOTE SENSING OF ENVIRONMENT, (C) 2002 Elsevier Science Inc. All rights reserved.,Remote sensing of surface solar irradiance with corrections for 3-D cloud effects,2002
"Sharifi, A|Dinpashoh, Y",WATER RESOURCES MANAGEMENT,,Sensitivity Analysis of the Penman-Monteith reference Crop Evapotranspiration to Climatic Variables in Iran,2014
"Schleupen, A|Maute, K|Ramm, E",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Adaptive FE-procedures in shape optimization,2000
"Sun, SA|Barraud, S|Branger, F|Braud, I|Castebrunet, H",HYDROLOGICAL PROCESSES,,Urban hydrologic trend analysis based on rainfall and runoff data analysis and conceptual model calibration,2017
"Jayakumar, NS|Agrawal, A|Hashim, MA|Sahu, JN",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Experimental and theoretical investigation of parametric sensitivity and dynamics of a continuous stirred tank reactor for acid catalyzed hydrolysis of acetic anhydride,2011
"Afefy, HM|Taher, SEF|Khalil, AHA|Issa, ME",ENGINEERING COMPUTATIONS,,Statistically equivalent nonlinear finite element model for infilled RC framed systems,2002
"Jensen, HA|Valdebenito, MA|Schueller, GI|Kusanovic, DS",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2009 Elsevier B.V. All rights reserved.,Reliability-based optimization of stochastic systems using line search,2009
"He, YL|Wang, WK|Zhang, ZQ|Xu, D",OCEAN & COASTAL MANAGEMENT, Elsevier Ltd. All rights reserved.,A hybrid positioning approach based on mechanical calculus model and grid simulation for drifting debris,2016
"Hua, FL|Wang, YJ|Tsang, YF|Chan, SY|Sin, SN|Chua, H",JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,,Study of microfiltration behaviour of oily wastewater,2007
"Claeys-Bruno, M|Dobrijevic, M|Phan-Tan-Luu, R|Sergent, M",CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS, (c) 2008 Elsevier B.V. All rights reserved.,A new class of supersaturated design: Application to a sensitivity study of a photochemical model,2009
"Gawrylczyk, KM|Kugler, M",COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,,Time domain sensitivity analysis of electromagnetic quantities utilising FEM for the identification of material conductivity distributions,2006
"Khatavkar, P|Mays, LW",WATER RESOURCES MANAGEMENT,,Optimization Models for the Design of Vegetative Filter Strips for Stormwater Runoff and Sediment Control,2017
"Bae, M|Lee, H|Lee, B",SUSTAINABILITY,,An Approach to Improve the Penetration of Sustainable Energy Using Optimal Transformer Tap Control,2017
"Shrestha, DL|Kayastha, N|Solomatine, D|Price, R",JOURNAL OF HYDROINFORMATICS,,Encapsulation of parametric uncertainty statistics by various predictive machine learning models: MLUE method,2014
"Landis, F",COMPUTATIONAL ECONOMICS,,Second-Order Sensitivity in Applied General Equilibrium,2011
"Patelli, E|Pradlwarter, HJ|Schueller, GI",COMPUTER PHYSICS COMMUNICATIONS, (C) 2010 Elsevier B.V. All rights reserved.,Global sensitivity of structural variability by random sampling,2010
"Dimitriadis, P|Tegos, A|Oikonomou, A|Pagana, V|Koukouvinos, A|Mamassis, N|Koutsoyiannis, D|Efstratiadis, A",JOURNAL OF HYDROLOGY, (C) 2016 Elsevier B.V. All rights reserved.,Comparative evaluation of 1D and quasi-2D hydraulic models based on benchmark and real-world applications for uncertainty assessment in flood mapping,2016
"Kim, WK|Yoon, KP|Mendoza, G|Sedaghat, M",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,Simulation model for extended double-ended queueing,2010
"Choi, YJ|Lee, G|Kim, JC",JOURNAL OF HYDROLOGIC ENGINEERING, (C) 2011 American Society of Civil Engineers.,Estimation of the Nash Model Parameters Based on the Concept of Geomorphologic Dispersion,2011
"Taroco, E",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2000 Elsevier Science S.A. All rights reserved.,Shape sensitivity analysis in linear elastic fracture mechanics,2000
"Tanaka, Y|Zhang, FH|Mori, Y",COMPUTATIONAL STATISTICS & DATA ANALYSIS, (C) 2002 Elsevier B.V. All rights reserved.,Local influence in principal component analysis: relationship between the local influence and influence function approaches revisited,2003
"Helal, AM|El-Nashar, AM|Al-Katheeri, ES|Al-Malek, SA",DESALINATION,,Optimal design of hybrid RO/MSF desalination plants - Part III: Sensitivity analysis,2004
"Wang, SM|Doering, JC",JOURNAL OF HYDRAULIC ENGINEERING-ASCE,,Numerical simulation of supercooling process and frazil ice evolution,2005
"Nalewajski, RF",JOURNAL OF MATHEMATICAL CHEMISTRY,,Internal and external eigenvalue problems of Hermitian operators and their use in electronic structure theory,2008
"Sjoblom, J|Creaser, D",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,New approach for microkinetic mean-field modelling using latent variables,2007
"Nagel, JB|Sudret, B",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2016 Elsevier Inc. All rights reserved.,Spectral likelihood expansions for Bayesian inference,2016
"Skalski, JR|Millspaugh, JJ|Dillingham, P|Buchanan, RA",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Calculating the variance of the finite rate of population change from a matrix model in Mathematica,2007
"Long, XY|Jiang, C|Yang, C|Han, X|Gao, W|Liu, J",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2016 Elsevier B.V. All rights reserved.,A stochastic scaled boundary finite element method,2016
"Schroth, MH|Istok, JD",GROUND WATER,,Models to determine first-order rate coefficients from single-well push-pull tests,2006
"Kim, HW|Bae, DS|Choi, KK",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2001 Elsevier Science B.V. All rights reserved.,Configuration design sensitivity analysis of dynamics for constrained mechanical systems,2001
"Wang, LH|Milford, JB|Carter, WPL",ATMOSPHERIC ENVIRONMENT, (C) 2000 Elsevier Science Ltd. All rights reserved.,Reactivity estimates for aromatic compounds. Part 2. Uncertainty in incremental reactivities,2000
"Dua, V|Bozinis, NA|Pistikopoulos, EN",COMPUTERS & CHEMICAL ENGINEERING, (C) 2002 Elsevier Science Ltd. All rights reserved.,A multiparametric programming approach for mixed-integer quadratic engineering problems,2002
"Adarsh, S|Reddy, MJ",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,Reliability analysis of composite channels using first order approximation and Monte Carlo simulations,2013
"Morankar, DV|Raju, KS|Vasan, A|AshokaVardhan, L",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,,Fuzzy Multiobjective Irrigation Planning Using Particle Swarm Optimization,2016
"Liu, XY|Lee, J|Kitanidis, PK|Parker, J|Kim, U",WATER RESOURCES MANAGEMENT,,Value of Information as a Context-Specific Measure of Uncertainty in Groundwater Remediation,2012
"Karageyik, BB|Sahin, S",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,Optimal lower barrier on modified surplus process,2017
"Davtalab, R|Mirchi, A|Khatami, S|Gyawali, R|Massah, A|Farajzadeh, M|Madani, K",JOURNAL OF HYDROLOGIC ENGINEERING, (C) 2017 American Society of Civil Engineers.,Improving Continuous Hydrologic Modeling of Data-Poor River Basins Using Hydrologic Engineering Center's Hydrologic Modeling System: Case Study of Karkheh River Basin,2017
"Oppenheimer, M|Little, CM|Cooke, RM",NATURE CLIMATE CHANGE,,Expert judgement and uncertainty quantification for climate change,2016
"Zhang, DR|Zhang, LR|Guan, YQ|Chen, X|Chen, XF",HYDROLOGY RESEARCH,,"Sensitivity analysis of Xinanjiang rainfall-runoff model parameters: a case study in Lianghui, Zhejiang province, China",2012
"Li, SF|Cheng, CY",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,Particle swarm optimization with fitness adjustment parameters,2017
"D'Ammaro, A|Montomoli, F",COMPUTERS & FLUIDS, Elsevier Ltd. All rights reserved.,Uncertainty quantification and film cooling,2013
"Smith, CS|Howes, AL|Price, B|McAlpine, CA",BIOLOGICAL CONSERVATION, Elsevier Ltd. All rights reserved.,Using a Bayesian belief network to predict suitable habitat of an endangered mammal - The Julia Creek dunnart (Sminthopsis douglasi),2007
"Flores, AN|Entekhabi, D|Bras, RL",JOURNAL OF TERRAMECHANICS, Elsevier Ltd. All rights reserved.,Application of a hillslope-scale soil moisture data assimilation system to military trafficability assessment,2014
"Gawrylczyk KM|Putek, P",COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,,Adaptive meshing algorithm for recognition of material cracks,2004
"Linn, RV|Espath, LFR|Awruch, AM",APPLIED MATHEMATICAL MODELLING, (C) 2013 Elsevier Inc. All rights reserved.,Optimal shape of axisymmetric solids using NURBS and automatic differentiation,2014
"Dong, ZM|Yuan, GX|Hu, JY",ENVIRONMENT INTERNATIONAL, Elsevier Ltd. All rights reserved.,"Uncertainty analysis in 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) cancer dose-response for three occupational cohorts",2016
"Werner, M|Blazkova, S|Petr, J",HYDROLOGICAL PROCESSES," Copyright (c) 2005 John Wiley & Sons, Ltd.",Spatially distributed observations in constraining inundation modelling uncertainties,2005
"Zachman, BA|Summers, RS",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,,Modeling TOC Breakthrough in Granular Activated Carbon Adsorbers,2010
"Cheng, M|Hou, TY|Zhang, Z",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2013 Elsevier Inc. All rights reserved.,A dynamically bi-orthogonal method for time-dependent stochastic partial differential equations I: Derivation and algorithms,2013
"Moualeu, DP|Bowong, S|Tewa, JJ|Emvudu, Y",MATHEMATICAL MODELLING OF NATURAL PHENOMENA,,Analysis of The Impact of Diabetes on The Dynamical Transmission of Tuberculosis,2012
"Paul, S|Michaleris, P|Shanghvi, JY",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2003 John Wiley Sons, Ltd.",Optimization of thermo-elasto-plastic processes using Eulerian sensitivity analysis,2003
"Gerosa, G|Finco, A|Marzuoli, R|Tuovinen, JP",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Evaluation of the uncertainty in the ozone flux effect modelling: From the experiments to the dose-response relationships,2012
"Ghysels, A|Verstraelen, T|Hemelsoet, K|Waroquier, M|Van Speybroeck, V",JOURNAL OF CHEMICAL INFORMATION AND MODELING,,TAMkin: A Versatile Package for Vibrational Analysis and Chemical Kinetics,2010
"Krausse, T|Cullmann, J",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Towards a more representative parametrisation of hydrologic models via synthesizing the strengths of Particle Swarm Optimisation and Robust Parameter Estimation,2012
"Roux, H",HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,,Parameter estimation methodology using inundation extents in fluvial hydraulies,2007
"Ren, ZY|Zhang, DH|Koh, CS",COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,,Multi-objective optimization approach to reliability-based robust global optimization of electromagnetic device,2014
"Kersaudy, P|Sudret, B|Varsier, N|Picon, O|Wiart, J",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2015 Elsevier Inc. All rights reserved.,A new surrogate modeling technique combining Kriging and polynomial chaos expansions - Application to uncertainty analysis in computational dosimetry,2015
"Li, J|Xiu, DB",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2008 Elsevier B.V. All rights reserved.,On numerical properties of the ensemble Kalman filter for data assimilation,2008
"Jones, TD|Chappell, NA",HYDROLOGY RESEARCH,,Streamflow and hydrogen ion interrelationships identified using data-based mechanistic modelling of high frequency observations through contiguous storms,2014
"Zhang, LM|Wu, XG|Zhu, HP|AbouRizk, SM",JOURNAL OF COMPUTING IN CIVIL ENGINEERING, (C) 2017 American Society of Civil Engineers.,Performing Global Uncertainty and Sensitivity Analysis from Given Data in Tunnel Construction,2017
"Fernandes, VA|Lopez-Caballero, F|d'Aguiar, SC",COMPUTERS AND GEOTECHNICS, Elsevier Ltd. All rights reserved.,Probabilistic analysis of numerical simulated railway track global stiffness,2014
"Barbetta, S|Moramarco, T|Brocca, L|Franchini, M|Melone, F",HYDROLOGICAL PROCESSES," Copyright (c) 2012 John Wiley & Sons, Ltd.",Confidence interval of real-time forecast stages provided by the STAFOM-RCM model: the case study of the Tiber River (Italy),2014
"Liao, JJ",MATHEMATICAL AND COMPUTER MODELLING, (c) 2008 Published by Elsevier Ltd.,An inventory control system under deferrable delivery conditions,2008
"Kelleher, C|Wagener, T|McGlynn, B",WATER RESOURCES RESEARCH,,Model-based analysis of the influence of catchment properties on hydrologic partitioning across five mountain headwater subcatchments,2015
"Poon, NMK|Martins, JRRA",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,An adaptive approach to constraint aggregation using adjoint sensitivity analysis,2007
"Xu, TF|Valocchi, AJ|Ye, M|Liang, F",WATER RESOURCES RESEARCH,,Quantifying model structural error: Efficient Bayesian calibration of a regional groundwater flow model using surrogates and a data-driven error model,2017
"Belete, GF|Voinov, A",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,Exploring temporal and functional synchronization in integrating models: A sensitivity analysis,2016
"Noor, K|Elfeki, AMM",NATURAL HAZARDS,,Development of a generalized Hayami solution for modelling of a diffusive flood wave in arid and non-arid regions,2017
"Xia, Q|Shi, TL|Wang, MY",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,A level set based shape and topology optimization method for maximizing the simple or repeated first eigenvalue of structure vibration,2011
"Oudin, L|Michel, C|Anctil, F",JOURNAL OF HYDROLOGY, (c) 2004 Elsevier B.V. All rights reserved.,Which potential evapotranspiration input for a lumped rainfall-runoff model? Part 1 - Can rainfall-runoff models effectively handle detailed potential evapotranspiration inputs?,2005
"Chen, G|Venkiteswaran, JJ|Schiff, SL|Taylor, WD",AQUATIC SCIENCES,,"Inverse modeling of dissolved O-2 and delta O-18-DO to estimate aquatic metabolism, reaeration and respiration isotopic fractionation: effects of variable light regimes and input uncertainties",2014
"Dellino, G|Kleijnen, JPC|Meloni, C",INFORMS JOURNAL ON COMPUTING,,Robust Optimization in Simulation: Taguchi and Krige Combined,2012
"Morin, M|Lawrence, R|Repasky, K|Sterling, T|McCann, C|Powell, S",JOURNAL OF APPLIED REMOTE SENSING, (c) 2017 Society of Photo-Optical Instrumentation Engineers (SPIE),Agreement analysis and spatial sensitivity of multispectral and hyperspectral sensors in detecting vegetation stress at management scales,2017
"Kohler, P|Wirtz, KW",ENVIRONMENTAL MODELLING & SOFTWARE, (C) 2002 Elsevier Science Ltd. All rights reserved.,Linear understanding of a huge aquatic ecosystem model using a group-collecting sensitivity analysis,2002
"Chastaing, G|Gamboa, F|Prieur, C",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,Generalized Sobol sensitivity indices for dependent variables: numerical methods,2015
"Neumann, DW|Rajagopalan, B|Zagona, EA",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,,Regression model for daily maximum stream temperature,2003
"Lee, C|Cao, J",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2001 John Wiley & Sons, Ltd.",Shell element formulation of multi-step inverse analysis for axisymmetric deep drawing process,2001
"White, KL|Chaubey, I",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,,"Sensitivity analysis, calibration, and validations for a multisite and multivariable SWAT model",2005
"Moermond, CTA|Traas, TP|Roessink, I|Veltman, K|Hendriks, AJ|Koelmans, AA",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Modeling decreased food chain accumulation of PAHs due to strong sorption to carhonaceous materials and metabolic transformation,2007
"Bahremand, A|De Smedt, F",WATER RESOURCES MANAGEMENT,,Predictive Analysis and Simulation Uncertainty of a Distributed Hydrological Model,2010
"Tavakoli, R",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2015 Elsevier B.V. All rights reserved.,Optimal design of multiphase composites under elastodynamic loading,2016
"Oberkampf, WL|Barone, MF",JOURNAL OF COMPUTATIONAL PHYSICS, Published by Elsevier Inc.,Measures of agreement between computation and experiment: Validation metrics,2006
"Giraldi, L|Le Maitre, OP|Mandli, KT|Dawson, CN|Hoteit, I|Knio, OM",COMPUTATIONAL GEOSCIENCES,,Bayesian inference of earthquake parameters from buoy data using a polynomial chaos-based surrogate,2017
"Tanabe, K|Kurita, T|Nishida, K|Lucic, B|Amic, D|Suzuki, T",SAR AND QSAR IN ENVIRONMENTAL RESEARCH,,Improvement of carcinogenicity prediction performances based on sensitivity analysis in variable selection of SVM models,2013
"Papoutsis-Kiachagias, EM|Giannakoglou, KC",ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,,"Continuous Adjoint Methods for Turbulent Flows, Applied to Shape and Topology Optimization: Industrial Applications",2016
"Deng, YX|Lei, K|Critto, A|Qiao, F|Li, ZC|Fu, G",MARINE POLLUTION BULLETIN, Elsevier Ltd. All rights reserved.,Improving optimization efficiency for the total pollutant load allocation in large two-dimensional water areas: Bohai Sea (China) case study,2017
"Mahnken, R",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2000 John Wiley & Sons, Ltd.",An inverse finite-element algorithm for parameter identification of thermoelastic damage models,2000
"Martinez, I|Grifoll, J|Giralt, F|Rallo, R",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2010 Elsevier B.V. All rights reserved.,Multimedia environmental chemical partitioning from molecular information,2010
"Scott, LLF|Maldonado, G",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,,Quantifying and Adjusting for Disease Misclassification Due to Loss to Follow-Up in Historical Cohort Mortality Studies,2015
"Guillaume, JHA|Kummu, M|Rasanen, TA|Jakeman, AJ",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Prediction under uncertainty as a boundary problem: A general formulation using Iterative Closed Question Modelling,2015
"Tromme, E|Tortorelli, D|Bruls, O|Duysinx, P",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Structural optimization of multibody system components described using level set techniques,2015
"Kabai, E|Zagyvai, P|Lang-Lazi, M|Oncsik, MB",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2004 Elsevier B.V. All rights reserved.,Radionuclide migration modeling through the soil-plant system as adapted for Hungarian environment,2004
"Chang, TH|Chen, AY|Chang, CW|Chueh, CH",JOURNAL OF COMPUTING IN CIVIL ENGINEERING,,Traffic Speed Estimation through Data Fusion from Heterogeneous Sources for First Response Deployment,2014
"Wang, L|Anderson, WK",COMPUTERS & FLUIDS, Published by Elsevier Ltd.,Shape sensitivity analysis for the compressible Navier-Stokes equations via discontinuous Galerkin methods,2012
"Lin, G|Karniadakis, GE",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,,Sensitivity analysis and stochastic simulations of non-equilibrium plasma flow,2009
"Zhao, DQ|Chen, JN|Wang, HZ|Tong, QY",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING, (C) 2013 American Society of Civil Engineers.,Application of a Sampling Based on the Combined Objectives of Parameter Identification and Uncertainty Analysis of an Urban Rainfall-Runoff Model,2013
"Park, S",SCIENTOMETRICS,,The R&D logic model: Does it really work? An empirical verification using successive binary logistic regression models,2015
"Demirel, MC|Booij, MJ|Hoekstra, AY",WATER RESOURCES RESEARCH,,Effect of different uncertainty sources on the skill of 10 day ensemble low flow forecasts for two hydrological models,2013
"Ghimire, BNS|Reddy, MJ",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,Optimization and uncertainty analysis of operational policies for multipurpose reservoir system,2014
"Pappenberger, F|Beven, KJ",WATER RESOURCES RESEARCH,,Ignorance is bliss: Or seven reasons not to use uncertainty analysis,2006
"Neumann, MB|Von Gunten, U|Gujer, W",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Sources of parameter uncertainty in predicting treatment performance: The case of preozonation in drinking water engineering,2007
"Wei, J|Lin, G|Jiang, LJ|Efendiev, Y",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,ANALYSIS OF VARIANCE-BASED MIXED MULTISCALE FINITE ELEMENT METHOD AND APPLICATIONS IN STOCHASTIC TWO-PHASE FLOWS,2014
"Chen, ML|Wang, FS",CHEMICAL ENGINEERING JOURNAL, (C) 2010 Elsevier B.V. All rights reserved.,Optimal trade-off design of integrated fermentation processes for ethanol production using genetically engineered yeast,2010
"Zhang, XY|Hormann, G|Gao, JF|Fohrer, N",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,,Structural uncertainty assessment in a discharge simulation model,2011
"Juuti, P|Arffman, A|Rostedt, A|Harra, J|Makela, JM|Keskinen, J",AEROSOL SCIENCE AND TECHNOLOGY,,Real-time effective density monitor (DENSMO) for aerosol nanoparticle production,2016
"Yang, KR|Guha, N|Efendiev, Y|Mallick, BK",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2017 Elsevier Inc. All rights reserved.,Bayesian and variational Bayesian approaches for flows in heterogeneous random media,2017
"Williams, M|Rastetter, EB|Shaver, GR|Hobbie, JE|Carpino, E|Kwiatkowski, BL",ECOLOGICAL APPLICATIONS,,Primary production of an arctic watershed: An uncertainty analysis,2001
"Yamasaki, S|Nomura, T|Kawamoto, A|Sato, K|Nishiwaki, S",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2011 John Wiley & Sons, Ltd.",A level set-based topology optimization method targeting metallic waveguide design problems,2011
"Bueche, T|Vetter, M",HYDROLOGICAL PROCESSES," Copyright (c) 2012 John Wiley & Sons, Ltd.",Simulating water temperatures and stratification of a pre-alpine lake with a hydrodynamic model: calibration and sensitivity analysis of climatic input parameters,2014
"de Figueiredo, LP|Grana, D|Santos, M|Figueiredo, W|Roisenberg, M|Neto, GS",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2017 Elsevier Inc. All rights reserved.,"Bayesian seismic inversion based on rock-physics prior modeling for the joint estimation of acoustic impedance, porosity and lithofacies",2017
"Zuniga, MM|Kucherenko, S|Shah, N",COMPUTER PHYSICS COMMUNICATIONS, (C) 2013 Elsevier B.V. All rights reserved.,Metamodelling with independent and dependent inputs,2013
