AU,year,title,journal,citations,Avg. Citations,DOI link
"Hassani, B|Tavakkoli, SM|Ghasemnejad, H",2013,Simultaneous shape and topology optimization of shell structures,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,10,2.0,https://dx.doi.org/10.1007/s00158-013-0894-9
"Wang, CX|Li, YP|Zhang, JL|Huang, GH",2015,Development of an inexact-variance hydrological modeling system for analyzing interactive effects of multiple uncertain parameters,JOURNAL OF HYDROLOGY,10,3.33,https://dx.doi.org/10.1016/j.jhydrol.2015.06.004
"Zhang, JW|Wang, X|Liu, P|Lei, XH|Li, ZJ|Gong, W|Duan, QY|Wang, H",2017,Assessing the weighted multi-objective adaptive surrogate model optimization to derive large-scale reservoir operating rules with sensitivity analysis,JOURNAL OF HYDROLOGY,10,10.0,https://dx.doi.org/10.1016/j.jhydrol.2016.12.008
"Chang, Y|Wu, JC|Jiang, GH|Kang, ZQ",2017,Identification of the dominant hydrological process and appropriate model structure of a karst catchment through stepwise simplification of a complex conceptual model,JOURNAL OF HYDROLOGY,10,10.0,https://dx.doi.org/10.1016/j.jhydrol.2017.02.050
"Hutton, C|Brazier, R",2012,"Quantifying riparian zone structure from airborne LiDAR: Vegetation filtering, anisotropic interpolation, and uncertainty propagation",JOURNAL OF HYDROLOGY,9,1.5,https://dx.doi.org/10.1016/j.jhydrol.2012.03.043
"Soize, C|Ghanem, R",2016,Data-driven probability concentration and sampling on manifold,JOURNAL OF COMPUTATIONAL PHYSICS,9,4.5,https://dx.doi.org/10.1016/j.jcp.2016.05.044
"Jin, S|Lu, HQ",2017,An asymptotic-preserving stochastic Galerkin method for the radiative heat transfer equations with random inputs and diffusive scalings,JOURNAL OF COMPUTATIONAL PHYSICS,9,9.0,https://dx.doi.org/10.1016/j.jcp.2016.12.033
"Berry, RD|Najm, HN|Debusschere, BJ|Marzouk, YM|Adalsteinsson, H",2012,Data-free inference of the joint distribution of uncertain model parameters,JOURNAL OF COMPUTATIONAL PHYSICS,9,1.5,https://dx.doi.org/10.1016/j.jcp.2011.10.031
"Edeling, WN|Dwight, RP|Cinnella, P",2016,Simplex-stochastic collocation method with improved scalability,JOURNAL OF COMPUTATIONAL PHYSICS,9,4.5,https://dx.doi.org/10.1016/j.jcp.2015.12.034
"Ayvaz, MT|Elci, A",2013,A groundwater management tool for solving the pumping cost minimization problem for the Tahtali watershed (Izmir-Turkey) using hybrid HS-Solver optimization algorithm,JOURNAL OF HYDROLOGY,9,1.8,https://dx.doi.org/10.1016/j.jhydrol.2012.11.045
"Sreekanth, J|Moore, C|Wolf, L",2016,Pareto-based efficient stochastic simulation-optimization for robust and reliable groundwater management,JOURNAL OF HYDROLOGY,9,4.5,https://dx.doi.org/10.1016/j.jhydrol.2015.12.001
"Buchmann, CM|Grossmann, K|Schwarz, N",2016,"How agent heterogeneity, model structure and input data determine the performance of an empirical ABM - A real-world case study on residential mobility",ENVIRONMENTAL MODELLING & SOFTWARE,9,4.5,https://dx.doi.org/10.1016/j.envsoft.2015.10.005
"Chen, YZ|Lee, KY",2001,Numerical solution of three-dimensional crack problem by using hypersingular integral equation,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,9,0.53,https://dx.doi.org/10.1016/S0045-7825(00)00374-1
"Panesi, M|Miki, K|Prudhomme, S|Brandis, A",2012,On the assessment of a Bayesian validation methodology for data reduction models relevant to shock tube experiments,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,9,1.5,https://dx.doi.org/10.1016/j.cma.2011.11.001
"Zhang, WH|Zhao, LY|Cai, SY",2015,Shape optimization of Dirichlet boundaries based on weighted B-spline finite cell method and level-set function,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,9,3.0,https://dx.doi.org/10.1016/j.cma.2015.06.012
"Feng, YS|Fuentes, D|Hawkins, A|Bass, JM|Rylander, MN",2009,Optimization and real-time control for laser treatment of heterogeneous soft tissues,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,9,1.0,https://dx.doi.org/10.1016/j.cma.2008.12.027
"Medina, JC|Taflanidis, AA",2014,Adaptive importance sampling for optimization under uncertainty problems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,9,2.25,https://dx.doi.org/10.1016/j.cma.2014.06.025
"Greene, MS|Xu, HY|Tang, S|Chen, W|Liu, WK",2013,A generalized uncertainty propagation criterion from benchmark studies of microstructured material systems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,9,1.8,https://dx.doi.org/10.1016/j.cma.2012.10.023
"Wu, YP|Liu, SG|Yan, WD",2014,A universal Model-R Coupler to facilitate the use of R functions for model calibration and analysis,ENVIRONMENTAL MODELLING & SOFTWARE,9,2.25,https://dx.doi.org/10.1016/j.envsoft.2014.08.012
"Anderson, KS|Hsu, Y",2004,Order-(n plus m) direct differentiation determination of design sensitivity for constrained multibody dynamic systems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,9,0.64,https://dx.doi.org/10.1007/s00158-003-0336-1
"Ren, XC|Yadav, V|Rahman, S",2016,Reliability-based design optimization by adaptive-sparse polynomial dimensional decomposition,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,9,4.5,https://dx.doi.org/10.1007/s00158-015-1337-6
"Zhao, SY|Li, JJ|Zhang, CX|Zhang, WJ|Lin, X|He, XD|Yao, YT",2015,Thermo-structural optimization of integrated thermal protection panels with one-layer and two-layer corrugated cores based on simulated annealing algorithm,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,9,3.0,https://dx.doi.org/10.1007/s00158-014-1137-4
"Zhang, XP|Kang, Z|Zhang, WB",2016,Robust topology optimization for dynamic compliance minimization under uncertain harmonic excitations with inhomogeneous eigenvalue analysis,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,9,4.5,https://dx.doi.org/10.1007/s00158-016-1607-y
"Rajabi, MM|Ataie-Ashtiani, B",2016,Efficient fuzzy Bayesian inference algorithms for incorporating expert knowledge in parameter estimation,JOURNAL OF HYDROLOGY,9,4.5,https://dx.doi.org/10.1016/j.jhydrol.2016.02.029
"Furusho, C|Chancibault, K|Andrieu, H",2013,Adapting the coupled hydrological model ISBA-TOPMODEL to the long-term hydrological cycles of suburban rivers: Evaluation and sensitivity analysis,JOURNAL OF HYDROLOGY,9,1.8,https://dx.doi.org/10.1016/j.jhydrol.2012.06.059
"Babuska, I|Nobile, F|Tempone, R",2008,Formulation of the static frame problem,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,8,0.8,https://dx.doi.org/10.1016/j.cma.2007.12.010
"Paulino, GH|Liu, Y",2001,Implicit consistent and continuum tangent operators in elastoplastic boundary element formulations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,8,0.47,https://dx.doi.org/10.1016/S0045-7825(00)00228-0
"van Daal, P|Gruber, G|Langeveld, J|Muschalla, D|Clemens, F",2017,Performance evaluation of real time control in urban wastewater systems in practice: Review and perspective,ENVIRONMENTAL MODELLING & SOFTWARE,8,8.0,https://dx.doi.org/10.1016/j.envsoft.2017.06.015
"Stanfill, B|Mielenz, H|Clifford, D|Thorburn, P",2015,Simple approach to emulating complex computer models for global sensitivity analysis,ENVIRONMENTAL MODELLING & SOFTWARE,8,2.67,https://dx.doi.org/10.1016/j.envsoft.2015.09.011
"Zervogiannis, T|Papadimitriou, DI|Giannakoglou, KC",2010,Total pressure losses minimization in turbomachinery cascades using the exact Hessian,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,8,1.0,https://dx.doi.org/10.1016/j.cma.2010.05.014
"Minunno, F|van Oijen, M|Cameron, DR|Cerasoli, S|Pereira, JS|Tome, M",2013,Using a Bayesian framework and global sensitivity analysis to identify strengths and weaknesses of two process-based models differing in representation of autotrophic respiration,ENVIRONMENTAL MODELLING & SOFTWARE,8,1.6,https://dx.doi.org/10.1016/j.envsoft.2012.12.010
"Jamu, DM|Piedrahita, RH",2002,An organic matter and nitrogen dynamics model for the ecological analysis of integrated aquaculture/agriculture systems: II. Model evaluation and application,ENVIRONMENTAL MODELLING & SOFTWARE,8,0.5,https://dx.doi.org/10.1016/S1364-8152(02)00017-8
"Duan, LB|Xiao, NC|Hu, ZH|Li, GY|Cheng, AG",2017,An efficient lightweight design strategy for body-in-white based on implicit parameterization technique,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,8,8.0,https://dx.doi.org/10.1007/s00158-016-1621-0
"Martins, AMB|Simoes, LMC|Negrao, JHJO",2015,Cable stretching force optimization of concrete cable-stayed bridges including construction stages and time-dependent effects,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,8,2.67,https://dx.doi.org/10.1007/s00158-014-1153-4
"Puri, RS|Morrey, D",2011,"A Krylov-Arnoldi reduced order modelling framework for efficient, fully coupled, structural-acoustic optimization",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,8,1.14,https://dx.doi.org/10.1007/s00158-010-0588-5
"Chen, BS|Liu, G|Kang, J|Li, YP",2008,Design optimization of stiffened storage tank for spacecraft,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,8,0.8,https://dx.doi.org/10.1007/s00158-007-0174-7
"Ireland, G|Petropoulos, GP|Carlson, TN|Purdy, S",2015,Addressing the ability of a land biosphere model to predict key biophysical vegetation characterisation parameters with Global Sensitivity Analysis,ENVIRONMENTAL MODELLING & SOFTWARE,8,2.67,https://dx.doi.org/10.1016/j.envsoft.2014.11.010
"Updegraff, K|Zimmerman, PR|Kozak, P|Chen, DG|Price, M",2010,Estimating the uncertainty of modeled carbon sequestration: The GreenCert (TM) system,ENVIRONMENTAL MODELLING & SOFTWARE,8,1.0,https://dx.doi.org/10.1016/j.envsoft.2010.05.009
"Brothers, MD|Foster, JT|Millwater, HR",2014,A comparison of different methods for calculating tangent-stiffness matrices in a massively parallel computational peridynamics code,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,8,2.0,https://dx.doi.org/10.1016/j.cma.2014.06.034
"Teferra, K|Arwade, SR|Deodatis, G",2014,Generalized variability response functions for two-dimensional elasticity problems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,8,2.0,https://dx.doi.org/10.1016/j.cma.2014.01.013
"Zhang, WH|Zhao, LY|Gao, T|Cai, SY",2017,Topology optimization with closed B-splines and Boolean operations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,8,8.0,https://dx.doi.org/10.1016/j.cma.2016.11.015
"Kim, C|Borodin, O|Karniadakis, GE",2015,Quantification of sampling uncertainty for molecular dynamics simulation: Time-dependent diffusion coefficient in simple fluids,JOURNAL OF COMPUTATIONAL PHYSICS,8,2.67,https://dx.doi.org/10.1016/j.jcp.2015.09.021
"Giusti, SM|Novotny, AA|Neto, EAD|Feijoo, RA",2009,Sensitivity of the macroscopic thermal conductivity tensor to topological microstructural changes,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,8,0.89,https://dx.doi.org/10.1016/j.cma.2008.10.005
"Warner, JE|Aquino, W|Grigoriu, MD",2015,Stochastic reduced order models for inverse problems under uncertainty,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,8,2.67,https://dx.doi.org/10.1016/j.cma.2014.11.021
"Schoberl, M|Zabaras, N|Koutsourelakis, PS",2017,Predictive coarse-graining,JOURNAL OF COMPUTATIONAL PHYSICS,8,8.0,https://dx.doi.org/10.1016/j.jcp.2016.10.073
"Wan, J|Zabaras, N",2013,A probabilistic graphical model approach to stochastic multiscale partial differential equations,JOURNAL OF COMPUTATIONAL PHYSICS,8,1.6,https://dx.doi.org/10.1016/j.jcp.2013.05.016
"Chen, X|Ng, B|Sun, YW|Tong, C",2013,A flexible uncertainty quantification method for linearly coupled multi-physics systems,JOURNAL OF COMPUTATIONAL PHYSICS,8,1.6,https://dx.doi.org/10.1016/j.jcp.2013.04.009
"Kim, MG|Jang, HL|Cho, S",2013,Adjoint design sensitivity analysis of reduced atomic systems using generalized Langevin equation for lattice structures,JOURNAL OF COMPUTATIONAL PHYSICS,8,1.6,https://dx.doi.org/10.1016/j.jcp.2013.01.020
"Witteveen, JAS|Iaccarino, G",2013,Subcell resolution in simplex stochastic collocation for spatial discontinuities,JOURNAL OF COMPUTATIONAL PHYSICS,8,1.6,https://dx.doi.org/10.1016/j.jcp.2013.05.035
"Tang, KK|Congedo, PM|Abgrall, R",2016,Adaptive surrogate modeling by ANOVA and sparse polynomial dimensional decomposition for global sensitivity analysis in fluid simulation,JOURNAL OF COMPUTATIONAL PHYSICS,8,4.0,https://dx.doi.org/10.1016/j.jcp.2016.03.026
"Choi, M|Sapsis, TP|Karniadakis, GE",2013,A convergence study for SPDEs using combined Polynomial Chaos and Dynamically-Orthogonal schemes,JOURNAL OF COMPUTATIONAL PHYSICS,8,1.6,https://dx.doi.org/10.1016/j.jcp.2013.02.047
"Cimrak, I|Van Keer, R",2010,Level set method for the inverse elliptic problem in nonlinear electromagnetism,JOURNAL OF COMPUTATIONAL PHYSICS,8,1.0,https://dx.doi.org/10.1016/j.jcp.2010.08.038
"Saloranta, TM",2016,Operational snow mapping with simplified data assimilation using the seNorge snow model,JOURNAL OF HYDROLOGY,8,4.0,https://dx.doi.org/10.1016/j.jhydrol.2016.03.061
"Ren, HY|Hou, ZS|Huang, MY|Bao, J|Sun, Y|Tesfa, T|Leung, LR",2016,Classification of hydrological parameter sensitivity and evaluation of parameter transferability across 431 US MOPEX basins,JOURNAL OF HYDROLOGY,8,4.0,https://dx.doi.org/10.1016/j.jhydrol.2016.02.042
"Nannapaneni, S|Hu, Z|Mahadevan, S",2016,Uncertainty quantification in reliability estimation with limit state surrogates,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,7,3.5,https://dx.doi.org/10.1007/s00158-016-1487-1
"Jung, J|Hyun, J|Goo, S|Wang, S",2015,An efficient design sensitivity analysis using element energies for topology optimization of a frequency response problem,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,7,2.33,https://dx.doi.org/10.1016/j.cma.2015.06.019
"Materna, D|Barthold, FJ",2009,Goal-oriented r-adaptivity based on variational arguments in the physical and material spaces,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,7,0.78,https://dx.doi.org/10.1016/j.cma.2009.06.015
"Paez, TL|Red-Horse, J",2008,Structural dynamics challenge problem: Summary,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,7,0.7,https://dx.doi.org/10.1016/j.cma.2007.09.026
"Choi, MJ|Cho, S",2014,Isogeometric shape design sensitivity analysis of stress intensity factors for curved crack problems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,7,1.75,https://dx.doi.org/10.1016/j.cma.2014.07.002
"Jensen, HA|Marillanca, A|Penaloza, O",2008,A computational procedure for response statistics-based optimization of stochastic non-linear FE-models,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,7,0.7,https://dx.doi.org/10.1016/j.cma.2008.02.034
"Hu, Z|Ao, D|Mahadevan, S",2017,Calibration experimental design considering field response and model uncertainty,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,7,7.0,https://dx.doi.org/10.1016/j.cma.2017.01.007
"Jenkins, N|Maute, K",2016,An immersed boundary approach for shape and topology optimization of stationary fluid-structure interaction problems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,7,3.5,https://dx.doi.org/10.1007/s00158-016-1467-5
"Capillon, R|Desceliers, C|Soize, C",2016,Uncertainty quantification in computational linear structural dynamics for viscoelastic composite structures,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,7,3.5,https://dx.doi.org/10.1016/j.cma.2016.03.012
"Luo, Z|Tong, LY|Wang, MY",2008,Design of distributed compliant micromechanisms with an implicit free boundary representation,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,7,0.7,https://dx.doi.org/10.1007/s00158-007-0198-z
"Chavan, AT|Manik, DN",2010,Sensitivity analysis of vibro-acoustic systems in statistical energy analysis framework,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,7,0.88,https://dx.doi.org/10.1007/s00158-009-0362-8
"Shahkarami, P|Liu, LC|Moreno, L|Neretnieks, I",2015,Radionuclide migration through fractured rock for arbitrary-length decay chain: Analytical solution and global sensitivity analysis,JOURNAL OF HYDROLOGY,7,2.33,https://dx.doi.org/10.1016/j.jhydrol.2014.10.060
"Atamturktur, S|Williams, B|Egeberg, M|Unal, C",2013,Batch sequential design of optimal experiments for improved predictive maturity in physics-based modeling,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,7,1.4,https://dx.doi.org/10.1007/s00158-013-0915-8
"Nakshatrala, PB|Tortorelli, DA",2016,Nonlinear structural design using multiscale topology optimization. Part II: Transient formulation,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,7,3.5,https://dx.doi.org/10.1016/j.cma.2016.01.003
"Kumar, A|Singh, R|Jena, PP|Chatterjee, C|Mishra, A",2015,Identification of the best multi-model combination for simulating river discharge,JOURNAL OF HYDROLOGY,7,2.33,https://dx.doi.org/10.1016/j.jhydrol.2015.03.060
"Chu, Y|Salles, C|Cernesson, F|Perrin, JL|Tournoud, MG",2008,Nutrient load modelling during floods in intermittent rivers: An operational approach,ENVIRONMENTAL MODELLING & SOFTWARE,7,0.7,https://dx.doi.org/10.1016/j.envsoft.2007.09.008
"Karagiannis, G|Konomi, BA|Lin, G",2015,A Bayesian mixed shrinkage prior procedure for spatial-stochastic basis selection and evaluation of gPC expansions: Applications to elliptic SPDEs,JOURNAL OF COMPUTATIONAL PHYSICS,7,2.33,https://dx.doi.org/10.1016/j.jcp.2014.12.034
"Ghasemizade, M|Baroni, G|Abbaspour, K|Schirmer, M",2017,Combined analysis of time-varying sensitivity and identifiability indices to diagnose the response of a complex environmental model,ENVIRONMENTAL MODELLING & SOFTWARE,7,7.0,https://dx.doi.org/10.1016/j.envsoft.2016.10.011
"Chen, Z|Hartmann, A|Goldscheider, N",2017,A new approach to evaluate spatiotemporal dynamics of controlling parameters in distributed environmental models,ENVIRONMENTAL MODELLING & SOFTWARE,7,7.0,https://dx.doi.org/10.1016/j.envsoft.2016.10.005
"Cho, E|Arhonditsis, GB|Khim, J|Chung, S|Heo, TY",2016,Modeling metal-sediment interaction processes: Parameter sensitivity assessment and uncertainty analysis,ENVIRONMENTAL MODELLING & SOFTWARE,7,3.5,https://dx.doi.org/10.1016/j.envsoft.2016.02.026
"Colbach, N|Bertrand, M|Busset, H|Colas, F|Dugue, F|Farcy, P|Fried, G|Granger, S|Meunier, D|Munier-Jolain, NM|Noilhan, C|Strbik, F|Gardarin, A",2016,"Uncertainty analysis and evaluation of a complex, multi-specific weed dynamics model with diverse and incomplete data sets",ENVIRONMENTAL MODELLING & SOFTWARE,7,3.5,https://dx.doi.org/10.1016/j.envsoft.2016.09.020
"Cecinati, F|Rico-Ramirez, MA|Heuvelink, GBM|Han, D",2017,Representing radar rainfall uncertainty with ensembles based on a time-variant geostatistical error modelling approach,JOURNAL OF HYDROLOGY,7,7.0,https://dx.doi.org/10.1016/j.jhydrol.2017.02.053
"Zhou, RR|Li, Y|Lu, D|Liu, HX|Zhou, HC",2016,An optimization based sampling approach for multiple metrics uncertainty analysis using generalized likelihood uncertainty estimation,JOURNAL OF HYDROLOGY,7,3.5,https://dx.doi.org/10.1016/j.jhydrol.2016.06.030
"Vergnault, E|Sagaut, P",2014,An adjoint-based lattice Boltzmann method for noise control problems,JOURNAL OF COMPUTATIONAL PHYSICS,7,1.75,https://dx.doi.org/10.1016/j.jcp.2014.07.027
"Pranesh, S|Ghosh, D",2016,Addressing the curse of dimensionality in SSFEM using the dependence of eigenvalues in KL expansion on domain size,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,6,3.0,https://dx.doi.org/10.1016/j.cma.2016.08.023
"Martinez-Frutos, J|Herrero-Perez, D",2016,Large-scale robust topology optimization using multi-GPU systems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,6,3.0,https://dx.doi.org/10.1016/j.cma.2016.08.016
"Oden, JT|Prudencio, EE|Bauman, PT",2013,Virtual model validation of complex multiscale systems: Applications to nonlinear elastostatics,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,6,1.2,https://dx.doi.org/10.1016/j.cma.2013.07.011
"Felder, G|Zischg, A|Weingartner, R",2017,The effect of coupling hydrologic and hydrodynamic models on probable maximum flood estimation,JOURNAL OF HYDROLOGY,6,6.0,https://dx.doi.org/10.1016/j.jhydrol.2017.04.052
"Wang, S|Huang, GH|Baetz, BW|Ancell, BC",2017,Towards robust quantification and reduction of uncertainty in hydrologic predictions: Integration of particle Markov chain Monte Carlo and factorial polynomial chaos expansion,JOURNAL OF HYDROLOGY,6,6.0,https://dx.doi.org/10.1016/j.jhydrol.2017.03.027
"Lobo, GP|Bonilla, CA",2015,Sensitivity analysis of kinetic energy-intensity relationships and maximum rainfall intensities on rainfall erosivity using a long-term precipitation dataset,JOURNAL OF HYDROLOGY,6,2.0,https://dx.doi.org/10.1016/j.jhydrol.2015.05.045
"Lee, K|Ho, HC|Marian, M|Wu, CH",2014,Uncertainty in open channel discharge measurements acquired with StreamPro ADCP,JOURNAL OF HYDROLOGY,6,1.5,https://dx.doi.org/10.1016/j.jhydrol.2013.11.031
"Liu, Y|Ren, LL|Hong, Y|Zhu, Y|Yang, XL|Yuan, F|Jiang, SH",2016,Sensitivity analysis of standardization procedures in drought indices to varied input data selections,JOURNAL OF HYDROLOGY,6,3.0,https://dx.doi.org/10.1016/j.jhydrol.2016.04.073
"Suryawanshi, A|Ghosh, D",2016,Reliability based optimization in aeroelastic stability problems using polynomial chaos based metamodels,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,6,3.0,https://dx.doi.org/10.1007/s00158-015-1322-0
"Parussini, L|Venturi, D|Perdikaris, P|Karniadakis, GE",2017,Multi-fidelity Gaussian process regression for prediction of random fields,JOURNAL OF COMPUTATIONAL PHYSICS,6,6.0,https://dx.doi.org/10.1016/j.jcp.2017.01.047
"Mara, TA|Delay, F|Lehmann, F|Younes, A",2016,A comparison of two Bayesian approaches for uncertainty quantification,ENVIRONMENTAL MODELLING & SOFTWARE,6,3.0,https://dx.doi.org/10.1016/j.envsoft.2016.04.010
"Abgrall, R|Congedo, PM|Geraci, G",2014,A one-time truncate and encode multiresolution stochastic framework,JOURNAL OF COMPUTATIONAL PHYSICS,6,1.5,https://dx.doi.org/10.1016/j.jcp.2013.08.006
"Jakeman, JD|Wildey, T",2015,Enhancing adaptive sparse grid approximations and improving refinement strategies using adjoint-based a posteriori error estimates,JOURNAL OF COMPUTATIONAL PHYSICS,6,2.0,https://dx.doi.org/10.1016/j.jcp.2014.09.014
"Hou, TY|Liu, PF",2015,A heterogeneous stochastic FEM framework for elliptic PDEs,JOURNAL OF COMPUTATIONAL PHYSICS,6,2.0,https://dx.doi.org/10.1016/j.jcp.2014.10.020
"Henriques, AA|Veiga, JMC|Matos, JAC|Delgado, JM",2008,Uncertainty analysis of structural systems by perturbation techniques,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,6,0.6,https://dx.doi.org/10.1007/s00158-007-0218-z
"Liu, K|Paulino, GH|Gardoni, P",2016,Reliability-based topology optimization using a new method for sensitivity approximation - application to ground structures,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,6,3.0,https://dx.doi.org/10.1007/s00158-016-1422-5
"Tian, S|Youssef, MA|Chescheir, GM|Skaggs, RW|Cacho, J|Nettles, J",2016,Development and preliminary evaluation of an integrated field scale model for perennial bioenergy grass ecosystems in lowland areas,ENVIRONMENTAL MODELLING & SOFTWARE,6,3.0,https://dx.doi.org/10.1016/j.envsoft.2016.06.029
"Khare, YP|Munoz-Carpena, R|Rooney, RW|Martinez, CJ",2015,A multi-criteria trajectory-based parameter sampling strategy for the screening method of elementary effects,ENVIRONMENTAL MODELLING & SOFTWARE,6,2.0,https://dx.doi.org/10.1016/j.envsoft.2014.11.013
"Han, J|Papalambros, PY",2010,An SLP filter algorithm for probabilistic analytical target cascading,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,6,0.75,https://dx.doi.org/10.1007/s00158-009-0450-9
"Medina, JC|Taflanidis, A",2015,Probabilistic measures for assessing appropriateness of robust design optimization solutions,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,6,2.0,https://dx.doi.org/10.1007/s00158-014-1160-5
"Wang, CF|Zhao, M|Ge, T",2016,Structural topology optimization with design-dependent pressure loads,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,6,3.0,https://dx.doi.org/10.1007/s00158-015-1376-z
"Noel, L|Duysinx, P",2017,Shape optimization of microstructural designs subject to local stress constraints within an XFEM-level set framework,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,6,6.0,https://dx.doi.org/10.1007/s00158-016-1642-8
"Cheng, GD|Xu, L",2016,Two-scale topology design optimization of stiffened or porous plate subject to out-of-plane buckling constraint,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,6,3.0,https://dx.doi.org/10.1007/s00158-016-1542-y
"Carbajal, JP|Leitao, JP|Albert, C|Rieckermann, J",2017,Appraisal of data-driven and mechanistic emulators of nonlinear simulators: The case of hydrodynamic urban drainage models,ENVIRONMENTAL MODELLING & SOFTWARE,6,6.0,https://dx.doi.org/10.1016/j.envsoft.2017.02.006
"Gu, XG|Lu, JW|Wang, HZ",2015,Reliability-based design optimization for vehicle occupant protection system based on ensemble of metamodels,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,6,2.0,https://dx.doi.org/10.1007/s00158-014-1150-7
"Mohammadi, B",2014,Principal angles between subspaces and reduced order modelling accuracy in optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,6,1.5,https://dx.doi.org/10.1007/s00158-013-1043-1
"Chittick, IR|Martins, JRRA",2008,Aero-structural optimization using adjoint coupled post-optimality sensitivities,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,5,0.5,https://dx.doi.org/10.1007/s00158-007-0200-9
"Vondrak, V|Kozubek, T|Markopoulos, A|Dostal, Z",2010,Parallel solution of contact shape optimization problems based on Total FETI domain decomposition method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,5,0.62,https://dx.doi.org/10.1007/s00158-010-0537-3
"Sala, R|Baldanzini, N|Pierini, M",2016,Representative surrogate problems as test functions for expensive simulators in multidisciplinary design optimization of vehicle structures,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,5,2.5,https://dx.doi.org/10.1007/s00158-016-1410-9
"Wang, ZQ|Wang, PF",2016,Accelerated failure identification sampling for probability analysis of rare events,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,5,2.5,https://dx.doi.org/10.1007/s00158-016-1405-6
"Houska, T|Kraft, R|Liebermann, R|Klatt, S|Kraus, D|Haas, E|Santabarbara, I|Kiese, R|Butterbach-Bahl, K|Muller, C|Breuer, L",2017,Rejecting hydro-biogeochemical model structures by multi-criteria evaluation,ENVIRONMENTAL MODELLING & SOFTWARE,5,5.0,https://dx.doi.org/10.1016/j.envsoft.2017.03.005
"Gogu, C|Haftka, R|Le Riche, R|Molimard, J",2010,Effect of approximation fidelity on vibration-based elastic constants identification,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,5,0.62,https://dx.doi.org/10.1007/s00158-010-0493-y
"Ghabraie, K",2015,The ESO method revisited,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,5,1.67,https://dx.doi.org/10.1007/s00158-014-1208-6
