AU,year,title,journal,citations,Avg. Citations,abstract,DOI,DOI link
"Ni, AX | Wang, QQ",2017,Sensitivity analysis on chaotic dynamical systems by Non-Intrusive Least Squares Shadowing (NILSS),Applications_JOURNAL OF COMPUTATIONAL PHYSICS,5,5.0,"This paper develops the Non-Intrusive Least Squares Shadowing (NILSS) method, which computes the sensitivity for long-time averaged objectives in chaotic dynamical systems. In NILSS, we represent a tangent solution by a linear combination of one inhomogeneous tangent solution and several homogeneous tangent solutions. Next, we solve a least squares problem using this representation; thus, the resulting solution can be used for computing sensitivities. NILSS is easy to implement with existing solvers. In addition, for chaotic systems with many degrees of freedom but few unstable modes, NILSS has a low computational cost. NILSS is applied to two chaotic PDE systems: the Lorenz  system and a CFD simulation of flow over a backward-facing step. In both cases, the sensitivities computed by NILSS reflect the trends in the long-time averaged objectives of dynamical systems.",10.1016/j.jcp.2017.06.033,https://dx.doi.org/10.1016/j.jcp.2017.06.033
"de Figueiredo, LP | Grana, D | Santos, M | Figueiredo, W | Roisenberg, M | Neto, GS",2017,"Bayesian seismic inversion based on rock-physics prior modeling for the joint estimation of acoustic impedance, porosity and lithofacies",Applications_JOURNAL OF COMPUTATIONAL PHYSICS,5,5.0,"We propose a Bayesian approach for seismic inversion to estimate acoustic impedance, porosity and lithofacies within the reservoir conditioned to post-stack seismic and well data. The link between elastic and petrophysical properties is given by a joint prior distribution for the logarithm of impedance and porosity, based on a rock-physics model. The well conditioning is performed through a background model obtained by well log interpolation. Two different approaches are presented: in the first approach, the prior is defined by a single Gaussian distribution, whereas in the second approach it is defined by a Gaussian mixture to represent the well data multimodal distribution and link the Gaussian components to different geological lithofacies. The forward model is based on a linearized convolutional model. For the single Gaussian case, we obtain an analytical expression for the posterior distribution, resulting in a fast algorithm to compute the solution of the inverse problem, i.e. the posterior distribution of acoustic impedance and porosity as well as the facies probability given the observed data. For the Gaussian mixture prior, it is not possible to obtain the distributions analytically, hence we propose a Gibbs algorithm to perform the posterior sampling and obtain several reservoir model realizations, allowing an uncertainty analysis of the estimated properties and lithofacies. Both methodologies are applied to a real seismic dataset with three wells to obtain D models of acoustic impedance, porosity and lithofacies. The methodologies are validated through a blind well test and compared to a standard Bayesian inversion approach. Using the probability of the reservoir lithofacies, we also compute a D isosurface probability model of the main oil reservoir in the studied field.",10.1016/j.jcp.2017.02.013,https://dx.doi.org/10.1016/j.jcp.2017.02.013
"Soize, C | Farhat, C",2017,A nonparametric probabilistic approach for quantifying uncertainties in low-dimensional and high-dimensional nonlinear models,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,5,5.0,"A nonparametric probabilistic approach for modeling uncertainties in projection-based, nonlinear, reduced-order models is presented. When experimental data are available, this approach can also quantify uncertainties in the associated high-dimensional models. The main underlying idea is twofold. First, to substitute the deterministic reduced-order basis (ROB) with a stochastic counterpart. Second, to construct the probability measure of the stochastic reduced-order basis (SROB) on a subset of a compact Stiefel manifold in order to preserve some important properties of a ROB. The stochastic modeling is performed so that the probability distribution of the constructed SROB depends on a small number of hyperparameters. These are determined by solving a reduced-order statistical inverse problem. The mathematical properties of this novel approach for quantifying model uncertainties are analyzed through theoretical developments and numerical simulations. Its potential is demonstrated through several example problems from computational structural dynamics.",10.1002/nme.5312,https://dx.doi.org/10.1002/nme.5312
"Zenner, MA",2002,Analysis of slug tests in bypassed wells,Applications_JOURNAL OF HYDROLOGY,5,0.31,"In Berlin many weils are constructed with an additional small diameter bypass tube flanged on to the large diameter casing and running parallel to the later upward to the surface. The response to a slug test conducted in such a well is usually characterised by significant water level oscillations developing inside the branched pipe system. In the present paper, a general non-linear model is developed for the analysis of slug tests performed in bypassed wells, The model includes skin effects, non-linear head losses due to internal well bore fluid friction minor losses originating at radius change, along the flow path inside the well and inertial effects of the water columns contained within the primary casing and the bypass Pipe flow inside the branched tubing system is described by the one-dimensional conservation law of the mechanical energy of the well bore fluid. Aquifer flow is quartified by a convolution-type approach. The coupled well-aquifer system is governed by all integro-differential equation representing the mean mechanical energy of the total kell bore fluid and, coupled to it, by a non-linear ordinary differential equation which accounts for mechanical energy fluctuations between the water columns inside the main casing and the bypass. Both equations are solved by finite difference approximations coupled to point iterative numerical techniques. An application of the model to field data suggests that non-linear hydraulic head losses originating inside the well bore may cause the measured head responses to depend on the initial displacement. A packer used to initiate a slug test can induce these non-linear distortions through the combined effect of minor losses originating at the inlet and the outlet of a small diameter packer flow-through tube and internal fluid friction potentially developing inside that packer passage. As classical linear theories do not allow for the analysis of such phenomena a model accounting, for these non-linear processes should be used if field data show significant dependencies on the initial slug height.",10.1016/S0022-1694(02)00048-3,https://dx.doi.org/10.1016/S0022-1694(02)00048-3
"Tang, YT | Marshall, L | Sharma, A | Smith, T",2016,Tools for investigating the prior distribution in Bayesian hydrology,Applications_JOURNAL OF HYDROLOGY,5,2.5,"Bayesian inference is one of the most popular tools for uncertainty analysis in hydrological modeling. While much emphasis has been placed on the selection of appropriate likelihood functions within Bayesian hydrology, few researchers have evaluated the importance of the prior distribution in deriving appropriate posterior distributions. This paper describes tools for the evaluation of parameter sensitivity to the prior distribution to provide guidelines for defining meaningful priors. The tools described here consist of two measurements, the Kullback-Leibler Divergence (KLD) and the prior information elasticity. The Kullback-Leibler Divergence (KLD) is applied to calculate differences between the prior and posterior distributions for different cases. The prior information elasticity is then used to quantify the responsiveness of the KLD values to the change of prior distributions and length of available data. The tools are demonstrated via a Bayesian framework using an MCMC algorithm for a conceptual hydrologic model with both synthetic and real cases. The results of the application of this toolkit suggest the prior distribution can have a significant impact on the posterior distribution and should be more routinely assessed in hydrologic studies.",10.1016/j.jhydrol.2016.04.032,https://dx.doi.org/10.1016/j.jhydrol.2016.04.032
"Wallis, I | Moore, C | Post, V | Wolf, L | Martens, E | Promrner, H",2014,Using predictive uncertainty analysis to optimise tracer test design and data acquisition,Applications_JOURNAL OF HYDROLOGY,5,1.25,"Tracer injection tests are regularly-used tools to identify and characterise flow and transport mechanisms in aquifers. Examples of practical applications are manifold and include, among others, managed aquifer recharge schemes, aquifer thermal energy storage systems and, increasingly important, the disposal of produced water from oil and shale gas wells. The hydrogeological and geochemical data collected during the injection tests are often employed to assess the potential impacts of injection on receptors such as drinking water wells and regularly serve as a basis for the development of conceptual and numerical models that underpin the prediction of potential impacts. As all field tracer injection tests impose substantial logistical and financial efforts, it is crucial to develop a solid a-priori understanding of the value of the various monitoring data to select monitoring strategies which provide the greatest return on investment. In this study, we demonstrate the ability of linear predictive uncertainty analysis (i.e. ""data worth analysis"") to quantify the usefulness of different tracer types (bromide, temperature, methane and chloride as examples) and head measurements in the context of a field-scale aquifer injection trial of coal seam gas (CSG) co-produced water. Data worth was evaluated in terms of tracer type, in terms of tracer test design (e.g., injection rate, duration of test and the applied measurement frequency) and monitoring disposition to increase the reliability of injection impact assessments. This was followed by an uncertainty targeted Pareto analysis, which allowed the interdependencies of cost and predictive reliability for alternative monitoring campaigns to be compared directly. For the evaluated injection test, the data worth analysis assessed bromide as superior to head data and all other tracers during early sampling times. However, with time, chloride became a more suitable tracer to constrain simulations of physical transport processes, followed by methane. Temperature data was assessed as the least informative of the solute tracers. However, taking costs of data acquisition into account, it could be shown that temperature data when used in conjunction with other tracers was a valuable and cost-effective marker species due to temperatures low cost to worth ratio. In contrast, the high costs of acquisition of methane data compared to its muted worth, highlighted methanes unfavourable return on investment. Areas of optimal monitoring bore position as well as optimal numbers of bores for the investigated injection site were also established. The proposed tracer test optimisation is done through the application of common use groundwater flow and transport models in conjunction with publicly available tools for predictive uncertainty analysis to provide modelers and practitioners with a powerful yet efficient and cost effective tool which is generally applicable and easily transferrable from the present study to many applications beyond the case study of injection of treated CSG produced water.",10.1016/j.jhydrol.2014.04.061,https://dx.doi.org/10.1016/j.jhydrol.2014.04.061
"Waber, HN | Gimmi, T | Smellie, JAT",2011,Effects of drilling and stress release on transport properties and porewater chemistry of crystalline rocks,Applications_JOURNAL OF HYDROLOGY,5,0.71,"The experimental verification of matrix diffusion in crystalline rocks largely relies on indirect methods performed in the laboratory. Such methods are prone to perturbations of the rock samples by collection and preparation and therefore the laboratory-derived transport properties and fluid composition might not represent in situ conditions. We investigated the effects induced by the drilling process and natural rock stress release by mass balance considerations and sensitivity analysis of analytical out-diffusion data obtained from originally saturated, large-sized drillcore material from two locations drilled using traced drilling fluid. For in situ stress-released drillcores of quartz-monzodiorite composition from the Aspo HRL, Sweden, tracer mass balance considerations and D and D diffusion modelling consistently indicated a contamination of <% of the original pore water. This chemically disturbed zone extends to a maximum of . mm into the drillcore (. mm x . mm) corresponding to about .% of the total pore volume (. vol.%). In contrast, the combined effects of stress release and the drilling process, which have influenced granodioritic drillcore material from  m below surface at Forsmark. Sweden, resulted in a maximum contamination of the derived porewater Cl(-) concentration of about %. The mechanically disturbed zone with modified diffusion properties covers the outermost similar to  mm of the drillcore ( mm x  mm), whereas the chemically disturbed zone extends to a maximum of . mm based on mass balance considerations, and to . mm to . mm into the drillcore based on fitting the observed tracer data. This corresponds to a maximum of .% of the total pore volume (. vol.%) being affected by the drilling-fluid contamination. The proportion of rock volume affected initially by drilling fluid or subsequently with experiment water during the laboratory diffusion and re-saturation experiments depends on the size of the drillcore material and will become larger the smaller the sample used for the experiment. The results are further in support of matrix diffusion taking place in the undisturbed matrix of crystalline rocks at least in the cm range.",10.1016/j.jhydrol.2011.05.029,https://dx.doi.org/10.1016/j.jhydrol.2011.05.029
"Oxberry, GM | Kostova-Vassilevska, T | Arrighi, W | Chand, K",2017,Limited-memory adaptive snapshot selection for proper orthogonal decomposition,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,5,5.0,"Reduced order models are useful for accelerating simulations in many-query contexts, such as optimization, uncertainty quantification, and sensitivity analysis. However, offline training of reduced order models (ROMs) can have prohibitively expensive memory and floating-point operation costs in high-performance computing applications, where memory per core is limited. To overcome this limitation for proper orthogonal decomposition, we propose a novel adaptive selection method for snapshots in time that limits offline training costs by selecting snapshots according an error control mechanism similar to that found in adaptive time-stepping ordinary differential equation solvers. The error estimator used in this work is related to theory bounding the approximation error in time of proper orthogonal decomposition-based ROMs, and memory usage is minimized by computing the singular value decomposition using a single-pass incremental algorithm. Results for a viscous Burgers' test problem demonstrate convergence in the limit as the algorithm error tolerances go to zero; in this limit, the full-order model is recovered to within discretization error. A parallel version of the resulting method can be used on supercomputers to generate proper orthogonal decomposition-based ROMs, or as a subroutine within hyperreduction algorithms that require taking snapshots in time, or within greedy algorithms for sampling parameter space.",10.1002/nme.5283,https://dx.doi.org/10.1002/nme.5283
"Podsechin, V | Tejakusuma, I | Schernewski, G | Pejrup, M",2006,On parameters estimation in dynamic model of suspended sediments,Applications_JOURNAL OF HYDROLOGY,5,0.42,"Dynamics of suspended sediments in the shallow Szczecin Lagoon, located on the border between Germany and Poland, were simulated with a simple box-type model. A direct search optimisation method was used to estimate the model's parameters. The sensitivity analysis of model parameters indicated that model output is most sensitive to settling velocity. The results point out the importance of prior assessment of parameters values before applying the formal optimisation procedure.",10.1016/j.jhydrol.2005.06.015,https://dx.doi.org/10.1016/j.jhydrol.2005.06.015
"Garcea, G | Liguori, FS | Leonetti, L | Magisano, D | Madeo, A",2017,Accurate and efficient a posteriori account of geometrical imperfections in Koiter finite element analysis,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,5,5.0,"The Koiter method recovers the equilibrium path of an elastic structure using a reduced model, obtained by means of a quadratic asymptotic expansion of the finite element model. Its main feature is the possibility of efficiently performing sensitivity analysis by including a posteriori the effects of the imperfections in the reduced nonlinear equations. The state-of-art treatment of geometrical imperfections is accurate only for small imperfection amplitudes and linear pre-critical behaviour. This work enlarges the validity of the method to a wider range of practical problems through a new approach, which accurately takes into account the imperfection without losing the benefits of the a posteriori treatment. A mixed solid-shell finite element is used to build the discrete model. A large number of numerical tests, regarding nonlinear buckling problems, modal interaction, unstable post-critical and imperfection sensitive structures, validates the proposal.",10.1002/nme.5550,https://dx.doi.org/10.1002/nme.5550
"Munoz-Rojas, PA | Fonseca, JSO | Creus, GJ",2004,A modified finite difference sensitivity analysis method allowing remeshing in large strain path-dependent problems,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,5,0.36,"Finite difference sensitivity analysis is simple and general yet usually inefficient and inaccurate compared to the analytical sensitivity approach. Although its high computational cost is not an issue in iteratively solved problems, its inaccuracies are critical in path-dependent problems when remeshing is required. In this case, the errors caused by parametric inversion and interpolation in variables transfer to the new mesh can be as large as the gradient components. This paper presents an efficient modified finite difference approach that allows remeshing either in path-independent or path-dependent problems, not being affected by the aforementioned errors. The strategy to cope with remeshing is extensive to the semi-analytical method which, for non-linear analyses, is shown to be a particular case of the proposed finite difference sensitivity approach. With this implementation, the finite difference, the semi-analytical and the analytical sensitivity methods all have comparable computational costs. The perturbation of unstructured meshes is performed with an inverse power Laplacian smoothing. The low cost and the accuracy of the sensitivity fields obtained after remeshing are shown in two examples, considering shape and constitutive design variables.",10.1002/nme.1102,https://dx.doi.org/10.1002/nme.1102
"Abi-Zeid, I | Parent, E | Bobee, B",2004,The stochastic modeling of low flows by the alternating point processes approach: methodology and application,Applications_JOURNAL OF HYDROLOGY,4,0.29,"The increasing demand on water resources requires better management of the water deficit situation, may it be unusual droughts or yearly recurring low flows. We propose to use alternating non-homogeneous point processes to model the occurrences and durations of water deficits and surplus. The advantage of this approach is that it is a relatively simple way to model complex, dependent and non-stationary phenomena. It can be used as an alternative to developing more intricate physically based models. Furthermore, alternating point processes can be used to generate synthetic data that may reveal useful for analysis purposes. Most importantly, they allow to subsequently quantify risks related to deficit durations. Our methodology, developed for two types of events under non-homogeneous conditions, consists of six steps: identification of event type, choice of point process, choice of intensity function shape, estimation of intensity function parameters, testing model fitness, and sensitivity analysis. Also included are two new models based on the non-homogeneous Poisson conditional process that take into account external variables such as precipitation and temperatures. We begin with a classification of some point processes and their relation to each other. We describe the procedure for using the pertinent statistical tests. We present our modeling results for  Canadian rivers where we observed that in most cases, the simpler point processes were quite adequate.",10.1016/j.jhydrol.2003.08.009,https://dx.doi.org/10.1016/j.jhydrol.2003.08.009
"Wan, J | Zabaras, N",2014,A probabilistic graphical model based stochastic input model construction,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,4,1.0,"Model reduction techniques have been widely used in modeling of high-dimensional stochastic input in uncertainty quantification tasks. However, the probabilistic modeling of random variables projected into reduced-order spaces presents a number of computational challenges. Due to the curse of dimensionality, the underlying dependence relationships between these random variables are difficult to capture. In this work, a probabilistic graphical model based approach is employed to learn the dependence by running a number of conditional independence tests using observation data. Thus a probabilistic model of the joint PDF is obtained and the PDF is factorized into a set of conditional distributions based on the dependence structure of the variables. The estimation of the joint PDF from data is then transformed to estimating conditional distributions under reduced dimensions. To improve the computational efficiency, a polynomial chaos expansion is further applied to represent the random field in terms of a set of standard random variables. This technique is combined with both linear and nonlinear model reduction methods. Numerical examples are presented to demonstrate the accuracy and efficiency of the probabilistic graphical model based stochastic input models.",10.1016/j.jcp.2014.05.002,https://dx.doi.org/10.1016/j.jcp.2014.05.002
"Nagel, JB | Sudret, B",2016,Spectral likelihood expansions for Bayesian inference,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,4,2.0,A spectral approach to Bayesian inference is presented. It pursues the emulation of the posterior probability density. The starting point is a series expansion of the likelihood function in terms of orthogonal polynomials. From this spectral likelihood expansion all statistical quantities of interest can be calculated semi-analytically. The posterior is formally represented as the product of a reference density and a linear combination of polynomial basis functions. Both the model evidence and the posterior moments are related to the expansion coefficients. This formulation avoids Markov chain Monte Carlo simulation and allows one to make use of linear least squares instead. The pros and cons of spectral Bayesian inference are discussed and demonstrated on the basis of simple applications from classical statistics and inverse modeling.,10.1016/j.jcp.2015.12.047,https://dx.doi.org/10.1016/j.jcp.2015.12.047
"Sengupta, TK | Sengupta, A",2016,A new alternating bi-diagonal compact scheme for non-uniform grids,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,4,2.0,"A new compact scheme has been developed for any non-uniform grid. The compact scheme has been developed for spatial discretization and is analyzed here in conjunction with four-stage, fourth order Runge-Kutta (RK) scheme for time integration while solving the one-dimensional convection equation. The space-time discretization combination is calibrated by subjecting the system to global spectral analysis (GSA) which was developed by the authors' group. Here, the compact scheme has been obtained by using a combination of two bi-diagonal schemes. The novel aspect of this scheme is its application in the physical plane directly without the necessity of mapping or transformations. Some typical cases for problems in acoustics, as well as fluid mechanics, have been studied here and potential use in large eddy simulations (LES) has been demonstrated by solving Navier-Stokes equation for lid driven cavity.",10.1016/j.jcp.2016.01.014,https://dx.doi.org/10.1016/j.jcp.2016.01.014
"Lee, SL | Woodward, CS | Graziani, F",2003,Analyzing radiation diffusion using time-dependent sensitivity-based techniques,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,4,0.27,"In this paper, we discuss the computation and use of solution sensitivities for analyzing radiation diffusion problems and the dependence of solutions on input parameters. The derivation of the sensitivity equations is given, along with a description of the method for solving them in tandem with the simulation. The parameter values express material opacity as a power-law of material temperature and density. The computed sensitivities reveal important qualitative details about the temperature coupling and diffusion processes. It is also shown that these sensitivities are valuable for ranking the parameters from most to least influential, designing improved experiments, and quantifying uncertainty in the simulation results. Lastly, the numerical examples show that these various types of sensitivity analysis are only moderately expensive to perform relative to solving the simulation by itself.",10.1016/j.jcp.2003.07.031,https://dx.doi.org/10.1016/j.jcp.2003.07.031
"Rao, V | Sandu, A",2016,A time-parallel approach to strong-constraint four-dimensional variational data assimilation,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,4,2.0,A parallel-in-time algorithm based on an augmented Lagrangian approach is proposed to solve four-dimensional variational (D-Var) data assimilation problems. The assimilation window is divided into multiple sub-intervals that allows parallelization of cost function and gradient computations. The solutions to the continuity equations across interval boundaries are added as constraints. The augmented Lagrangian approach leads to a different formulation of the variational data assimilation problem than the weakly constrained D-Var. A combination of serial and parallel D-Vars to increase performance is also explored. The methodology is illustrated on data assimilation problems involving the Lorenz- and the shallow water models.,10.1016/j.jcp.2016.02.040,https://dx.doi.org/10.1016/j.jcp.2016.02.040
"Gejadze, IY | Malaterre, PO",2016,Design of the control set in the framework of variational data assimilation,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,4,2.0,"Solving data assimilation problems under uncertainty in basic model parameters and in source terms may require a careful design of the control set. The task is to avoid such combinations of the control variables which may either lead to ill-posedness of the control problem formulation or compromise the robustness of the solution procedure. We suggest a method for quantifying the performance of a control set which is formed as a subset of the full set of uncertainty-bearing model inputs. Based on this quantity one can decide if the chosen 'safe' control set is sufficient in terms of the prediction accuracy. Technically, the method presents a certain generalization of the 'variational' uncertainty quantification method for observed systems. It is implemented as a matrix-free method, thus allowing high-dimensional applications. Moreover, if the Automatic Differentiation is utilized for computing the tangent linear and adjoint mappings, then it could be applied to any multi-input 'black-box' system. As application example we consider the full Saint-Venant hydraulic network model SIC, which describes the flow dynamics in river and canal networks. The developed methodology seem useful in the context of the future SWOT satellite mission, which will provide observations of river systems the properties of which are known with quite a limited precision.",10.1016/j.jcp.2016.08.029,https://dx.doi.org/10.1016/j.jcp.2016.08.029
"Adinehvand, R | Raeisi, E | Hartmann, A",2017,A step-wise semi-distributed simulation approach to characterize a karst aquifer and to support dam construction in a data-scarce environment,Applications_JOURNAL OF HYDROLOGY,4,4.0,"Karst systems provide significant volumes of drinking water for large parts of the world population. Due to chemical weathering, karst systems are characterized by strong heterogeneity resulting in a complex flow and storage behaviour. Presently available karst modelling strategies account for the karstic heterogeneity but often a lack of data limits their applicability in data-scarce regions. In this study, a step-wise simulation approach with a semi-distributed karst model is proposed to characterize a karst aquifer at a data-scarce region in Southwest Iran and to evaluate the leakage potential related to a future dam construction project at a river that cuts through the aquifer. Observed groundwater level time series were applied to calibrate and validate the model. In order to avoid over-parameterization, the karst aquifer was split into three sections down the hydraulic gradient. At each section, groundwater level observations were used to iteratively calibrate the model from the first to the last section. A spatial split sample test and sensitivity analysis served to evaluate the prediction performance and the identifiability of the model parameters. Finally, simple scenarios of the river infiltration into the aquifer were applied to evaluate the leakage potential of the aquifer for future dam constructions. The spatial split-sample test showed that the semi-distributed model provided reliable predictions but prediction performance and parameter identifiability decreased from the first towards the last aquifer section, most probably due to increased aquifer complexity and propagation of uncertainty from the up-gradient model section. Using sensitivity analysis, we also show that parameter sensitivities increase significantly if parameter estimation was applied simultaneously to all three aquifer subsections. Using the model to assess the leakage potential indicated that, without further technical measures, the all river flow would be able infiltrate into the aquifer and the dam would never be filled up completely.",10.1016/j.jhydrol.2017.08.056,https://dx.doi.org/10.1016/j.jhydrol.2017.08.056
"Takalloozadeh, M | Yoon, GH",2017,Development of Pareto topology optimization considering thermal loads,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,4,4.0,"In this research, we developed a level-set based topology optimization with a topological derivative formulation considering thermal load. Thermo-elasticity equations were utilized to obtain the sensitivity of the objective function after inserting a small hole in the domain. Total strain energy and the maximum stress in the design domain were taken as the objective functions. After taking the thermal loading effect into account, the total strain energy density function became a nonhomogeneous function of the strain. In addition, temperature variation changed Hooke's law from a linear homogeneous to a linear nonhomogeneous expression including a zero order term. We derived the sensitivity value of the selected objective functions with respect to a perturbation in the structural domain under mechanical and thermal loads while considering these changes in the governing equations. We performed several numerical optimization problems to demonstrate the validity of the present level-set based Pareto topology optimization. Two types of examples (compliance and stress minimization) were solved based on the chosen objective functions. Furthermore, in the stress minimization examples, the derived formula was extended to consider thermal effects in the failure theories for pressure independent and dependent materials.",10.1016/j.cma.2016.12.030,https://dx.doi.org/10.1016/j.cma.2016.12.030
"Bolster, CH | Vadas, PA | Boykin, D",2016,Model parameter uncertainty analysis for an annual field-scale P loss model,Applications_JOURNAL OF HYDROLOGY,4,2.0,"Phosphorous (P) fate and transport models are important tools for developing and evaluating conservation practices aimed at reducing P losses from agricultural fields. Because all models are simplifications of complex systems, there will exist an inherent amount of uncertainty associated with their predictions. It is therefore important that efforts be directed at identifying, quantifying, and communicating the different sources of model uncertainties. In this study, we conducted an uncertainty analysis with the Annual P Loss Estimator (APLE) model. Our analysis included calculating parameter uncertainties and confidence and prediction intervals for five internal regression equations in APLE. We also estimated uncertainties of the model input variables based on values reported in the literature. We then predicted P loss for a suite of fields under different management and climatic conditions while accounting for uncertainties in the model parameters and inputs and compared the relative contributions of these two sources of uncertainty to the overall uncertainty associated with predictions of P loss. Both the overall magnitude of the prediction uncertainties and the relative contributions of the two sources of uncertainty varied depending on management practices and field characteristics. This was due to differences in the number of model input variables and the uncertainties in the regression equations associated with each P loss pathway. Inspection of the uncertainties in the five regression equations brought attention to a previously unrecognized limitation with the equation used to partition surface-applied fertilizer P between leaching and runoff losses. As a result, an alternate equation was identified that provided similar predictions with much less uncertainty. Our results demonstrate how a thorough uncertainty and model residual analysis can be used to identify limitations with a model. Such insight can then be used to guide future data collection and model development and evaluation efforts.",10.1016/j.jhydrol.2016.05.009,https://dx.doi.org/10.1016/j.jhydrol.2016.05.009
"Stephenson, KM | Novakowski, KS",2006,The analysis of pulse interference tests conducted in a fractured rock aquifer bounded by a constant free surface,Applications_JOURNAL OF HYDROLOGY,4,0.33,"An analytical model is presented for the analysis of pulse interference tests conducted in a double porosity medium. The special case of a horizontal fracture zone in a fractured rock environment with vertical connection to a high permeability zone at the water table is considered. The high permeability zone is modeled as a hydraulic boundary of constant head and the vertical fractures are modeled using a formulation based on equivalent porous media. Wellbore storage at the source and observation wells is accounted for using an approximate superposition technique. The solution is found using the Laplace transform method and numerical inversion into real space. The derivation is presented in dimensioned terms and a method for estimating the hydraulic conductivity of the vertical fractures is developed. Several alternate solutions describing differing system geometry and boundary conditions are presented for comparative purposes. A sensitivity analysis shows that the new model predicts unique values for horizontal transmissivity and vertical hydraulic conductivity over a range of realistic storage term values for a given distance to the constant head boundary. Storage values were not found to be uniquely determined with this method. Several field examples are presented in order to validate the applicability of the analysis to real data. The effects of the connection to the water table through double porosity were found to be significant, resulting in an observation well response that cannot be simulated using a single porosity model. Thus, the method is very useful for uniquely estimating the vertical hydraulic properties of fractured rock aquifers, parameters that are often difficult to measure in this setting (C)  Elsevier Ltd All rights reserved.",10.1016/j.jhydrol.2005.07.005,https://dx.doi.org/10.1016/j.jhydrol.2005.07.005
"Paul, S | Michaleris, P | Shanghvi, JY",2003,Optimization of thermo-elasto-plastic processes using Eulerian sensitivity analysis,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,4,0.27,"A computational scheme for the analysis and optimization of quasi-static then-no-mechanical processes is presented in this paper. In order to obtain desirable mechanical transformations in a workpiece using a thermal treatment process, the optimal control parameters need to be determined. The problem is addressed by posing the process as a decoupled thermo-mechanical finite element problem and performing an optimization using gradient methods. The forward problem is solved using the Eulerian formulation since it is computationally more efficient compared to an equivalent Lagrangian formulation. The design sensitivities required for the optimization are developed analytically using direct differentiation. This systematic design approach is applied to optimize a laser forming process. The objective is to maximize the angular distortion of a specimen subject to the constraint that the phase transition temperature is not exceeded at any point in the model.",10.1002/nme.605,https://dx.doi.org/10.1002/nme.605
"Mahnken, R",2000,An inverse finite-element algorithm for parameter identification of thermoelastic damage models,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,4,0.22,"In this contribution an algorithm for parameter identification of thermoelastic damage models is proposed, in which non-uniform distributions of the state variables such as stresses, strains, damage variables and temperature are taken into account. To this end a least-squares functional consisting of experimental data and simulated data is minimized, whereby the latter are obtained with the finite-element method. In order to improve the efficiency of the minimization process, a gradient-based optimization algorithm is applied, and therefore the corresponding sensitivity analysis for the coupled variational problem is described in a systematic manner. For illustrative purpose, the performance of the algorithm is demonstrated for a non-homogeneous shear problem with thermal loading.",10.1002/(SICI)1097-0207(20000710)48:7<1015::AID-NME912>3.0.CO;2-4,https://dx.doi.org/10.1002/(SICI)1097-0207(20000710)48:7<1015::AID-NME912>3.0.CO;2-4
"Kim, JY | Aluru, NR | Tortorelli, DA",2003,Improved multi-level Newton solvers for fully coupled multi-physics problems,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,4,0.27,An algorithm is suggested to improve the efficiency of the rnulti-level Newton method that is used to solve multi-physics problems. It accounts for full coupling between the subsystems by using the direct differentiation method rather than error prone finite difference calculations and retains the advantage of greater flexibility over the tightly coupled approaches. Performance of the algorithm is demonstrated by solving a fluid-structure interaction problem.,10.1002/nme.751,https://dx.doi.org/10.1002/nme.751
"Reeve, ST | Strachan, A",2017,Error correction in multi-fidelity molecular dynamics simulations using functional uncertainty quantification,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,4,4.0,"We use functional, Frechet, derivatives to quantify how thermodynamic outputs of a molecular dynamics (MD) simulation depend on the potential used to compute atomic interactions. Our approach quantifies the sensitivity of the quantities of interest with respect to the input functions as opposed to its parameters as is done in typical uncertainty quantification methods. We show that the functional sensitivity of the average potential energy and pressure in isothermal, isochoric MD simulations using Lennard Jones two body interactions can be used to accurately predict those properties for other interatomic potentials (with different functional forms) without re-running the simulations. This is demonstrated under three different thermodynamic conditions, namely a crystal at room temperature, a liquid at ambient pressure, and a high pressure liquid. The method provides accurate predictions as long as the change in potential can be reasonably described to first order and does not significantly affect the region in phase space explored by the simulation. The functional uncertainty quantification approach can be used to estimate the uncertainties associated with constitutive models used in the simulation and to correct predictions if a more accurate representation becomes available.",10.1016/j.jcp.2016.12.039,https://dx.doi.org/10.1016/j.jcp.2016.12.039
